#{"t_start": 1525502027.3987665, "env_id": "AsteroidsNoFrameskip-v4"}
r,l,t,i
830.0,659,7.10444,658
730.0,623,10.209849,1281
1580.0,1732,18.606505,3013
1280.0,1562,26.314255,4575
360.0,479,28.602592,5054
880.0,739,32.219021,5793
1280.0,2309,43.587263,8102
930.0,853,47.679031,8955
380.0,382,49.508006,9337
830.0,1067,54.627596,10404
160.0,495,57.02148,10899
980.0,682,60.286732,11581
1300.0,1049,65.248215,12630
580.0,567,67.872703,13197
360.0,266,69.123953,13463
980.0,763,72.780957,14226
580.0,694,76.208377,14920
1030.0,918,80.659874,15838
730.0,647,83.787914,16485
530.0,428,85.790252,16913
930.0,519,88.269619,17432
730.0,442,90.35454,17874
1580.0,2453,102.320342,20327
330.0,311,103.805797,20638
1280.0,959,108.455721,21597
1180.0,737,111.949169,22334
2080.0,1195,117.775666,23529
1180.0,772,121.472422,24301
930.0,639,124.596886,24940
1710.0,830,128.554505,25770
930.0,561,131.277728,26331
2280.0,1116,136.57151,27447
1080.0,608,139.567686,28055
1080.0,847,143.687281,28902
1320.0,1028,148.624255,29930
1280.0,1970,158.111534,31900
1300.0,1285,164.378566,33185
830.0,541,167.01278,33726
880.0,826,171.005162,34552
1710.0,1997,180.711301,36549
780.0,548,183.362827,37097
730.0,547,186.048192,37644
1370.0,1779,194.836397,39423
1440.0,849,198.979732,40272
1790.0,1406,205.760701,41678
930.0,530,208.26231,42208
1300.0,1294,214.505625,43502
2030.0,1632,222.45763,45134
1080.0,1182,228.230302,46316
1320.0,1171,233.911286,47487
1850.0,1195,239.730778,48682
1030.0,436,241.829489,49118
1460.0,1041,246.88722,50159
1320.0,629,249.995788,50788
1280.0,601,252.888637,51389
930.0,632,255.917942,52021
1880.0,1659,264.073087,53680
1810.0,1376,270.811859,55056
380.0,312,272.295687,55368
1520.0,1804,281.21553,57172
1440.0,1044,286.265278,58216
1320.0,1314,292.776645,59530
730.0,413,294.774636,59943
780.0,422,296.825249,60365
1180.0,826,300.76988,61191
880.0,593,303.614317,61784
1030.0,507,306.145506,62291
930.0,570,308.919817,62861
1390.0,1068,314.186807,63929
1180.0,843,318.264899,64772
1490.0,675,321.550666,65447
1950.0,1406,328.435266,66853
1080.0,685,331.800514,67538
780.0,694,335.233262,68232
480.0,391,337.085347,68623
1130.0,804,341.081286,69427
1080.0,735,344.697439,70162
1080.0,596,347.582297,70758
2350.0,929,352.244059,71687
1490.0,749,355.917477,72436
1300.0,1019,360.909057,73455
930.0,472,363.195298,73927
580.0,376,365.025753,74303
1180.0,891,369.399267,75194
2500.0,1012,374.429564,76206
980.0,641,377.521204,76847
1080.0,530,380.118176,77377
1080.0,371,381.910804,77748
1300.0,1304,388.228772,79052
560.0,457,390.448974,79509
1180.0,1053,395.542309,80562
1300.0,923,400.12511,81485
1300.0,1125,405.674143,82610
780.0,399,407.634213,83009
780.0,373,409.403193,83382
1350.0,1155,415.096066,84537
1280.0,1143,420.609672,85680
1280.0,1024,425.640949,86704
730.0,507,428.071751,87211
1080.0,680,431.380302,87891
680.0,437,433.48478,88328
1180.0,698,436.960819,89026
680.0,388,438.824859,89414
1300.0,829,442.888643,90243
880.0,395,444.782594,90638
2130.0,707,448.270265,91345
730.0,270,449.591197,91615
2200.0,1120,455.134381,92735
1300.0,559,457.870691,93294
1420.0,1520,465.552763,94814
680.0,433,467.641909,95247
1500.0,1781,476.450768,97028
1470.0,1184,482.294975,98212
2260.0,1033,487.385661,99245
2200.0,2020,497.346522,101265
1880.0,865,501.648972,102130
1490.0,939,506.275921,103069
1080.0,571,509.027761,103640
660.0,387,510.925073,104027
1440.0,474,513.180758,104501
680.0,392,515.062529,104893
1620.0,694,518.460157,105587
1420.0,809,522.457095,106396
780.0,412,524.495977,106808
830.0,413,526.537499,107221
1030.0,572,529.337305,107793
980.0,402,531.239769,108195
1180.0,864,535.483093,109059
530.0,312,537.005429,109371
930.0,543,539.667969,109914
580.0,458,541.862665,110372
730.0,507,544.364782,110879
660.0,314,545.833235,111193
880.0,509,548.238378,111702
1080.0,514,550.655198,112216
1440.0,508,553.107089,112724
1180.0,580,555.864728,113304
1730.0,2187,566.51422,115491
1980.0,1107,572.000436,116598
2130.0,1883,581.200191,118481
730.0,407,583.133681,118888
980.0,630,586.23906,119518
980.0,568,588.899232,120086
1640.0,1565,596.60978,121651
1700.0,1602,604.451074,123253
430.0,488,606.834211,123741
780.0,370,608.598949,124111
1300.0,451,610.789463,124562
1320.0,1133,616.420232,125695
1610.0,664,619.723539,126359
1480.0,683,623.039952,127042
1880.0,1068,628.250966,128110
1610.0,1243,634.425431,129353
1490.0,728,638.037622,130081
1300.0,977,642.805925,131058
860.0,339,644.512305,131397
1390.0,670,647.817947,132067
730.0,581,650.688854,132648
780.0,456,652.938422,133104
1910.0,944,657.603485,134048
930.0,514,660.102196,134562
2500.0,970,664.863806,135532
610.0,468,667.170425,136000
380.0,377,668.947868,136377
1320.0,761,672.691945,137138
1850.0,919,677.214472,138057
830.0,379,679.045967,138436
730.0,324,680.596298,138760
1680.0,1355,687.319096,140115
1730.0,1622,695.234905,141737
630.0,413,697.247305,142150
1440.0,915,701.729056,143065
1420.0,753,705.387154,143818
1080.0,615,708.415345,144433
1180.0,553,711.107698,144986
