#{"t_start": 1525500271.7781813, "env_id": "AsteroidsNoFrameskip-v4"}
r,l,t,i
1510.0,2753,22.927945,2752
1320.0,1356,30.490355,4108
1300.0,1401,38.328506,5509
610.0,495,41.088302,6004
980.0,890,46.028915,6894
830.0,677,49.823761,7571
430.0,633,53.42641,8204
680.0,585,56.672682,8789
480.0,602,60.012723,9391
390.0,418,62.362208,9809
1280.0,2188,74.858258,11997
680.0,637,78.399302,12634
380.0,537,81.415133,13171
1300.0,1559,90.170277,14730
760.0,505,92.987602,15235
1280.0,1144,99.466907,16379
1320.0,1637,108.638569,18016
1180.0,1035,114.492949,19051
1390.0,2136,126.654624,21187
380.0,337,128.517343,21524
930.0,904,133.573499,22428
980.0,871,138.507565,23299
530.0,598,141.861872,23897
780.0,697,145.789471,24594
1540.0,1250,152.848777,25844
1580.0,1570,161.748169,27414
1280.0,1932,172.631968,29346
1080.0,908,177.625509,30254
1510.0,2227,190.180385,32481
1320.0,1192,196.881457,33673
980.0,699,200.957221,34372
1130.0,1136,207.346647,35508
730.0,458,209.871476,35966
1080.0,679,213.693042,36645
1850.0,1846,224.108299,38491
530.0,413,226.394382,38904
1930.0,1435,234.338537,40339
780.0,431,236.678875,40770
1180.0,1228,243.612917,41998
880.0,597,246.873421,42595
510.0,413,249.143059,43008
1080.0,867,254.107645,43875
880.0,606,257.514017,44481
1300.0,1123,263.79278,45604
980.0,856,268.578456,46460
1180.0,708,272.535157,47168
1750.0,2848,288.524581,50016
580.0,626,292.048491,50642
1610.0,1987,303.287939,52629
830.0,643,306.804099,53272
1280.0,2368,320.134713,55640
1320.0,1311,327.478862,56951
680.0,607,330.860295,57558
1300.0,1222,337.750357,58780
930.0,510,340.561855,59290
530.0,431,342.979511,59721
410.0,454,345.48505,60175
1080.0,836,350.138941,61011
1300.0,2803,366.001227,63814
1400.0,1356,373.654721,65170
1880.0,1518,382.236099,66688
1780.0,1032,388.118803,67720
1300.0,1070,395.243737,68790
880.0,422,398.031322,69212
830.0,847,403.832014,70059
780.0,543,407.468475,70602
1180.0,812,412.776716,71414
1510.0,991,419.116861,72405
1280.0,1457,428.592948,73862
1030.0,879,434.23952,74741
2150.0,1819,446.514271,76560
980.0,779,451.713796,77339
1440.0,2196,466.521288,79535
460.0,441,469.491289,79976
1080.0,550,473.016621,80526
1830.0,1202,480.302902,81728
730.0,325,482.135664,82053
1340.0,1638,491.504188,83691
980.0,357,493.466077,84048
480.0,403,495.763986,84451
1080.0,714,499.814231,85165
760.0,453,502.310939,85618
1390.0,1016,508.094896,86634
1300.0,1244,515.206967,87878
1580.0,1109,521.551764,88987
680.0,519,524.470879,89506
1180.0,864,529.410297,90370
630.0,409,531.76195,90779
1850.0,1201,538.597567,91980
610.0,353,540.551229,92333
1480.0,1139,547.047024,93472
530.0,388,549.237245,93860
1180.0,449,551.756346,94309
930.0,426,554.165699,94735
980.0,577,557.461829,95312
580.0,455,559.957179,95767
780.0,419,562.246902,96186
1320.0,1005,567.935738,97191
980.0,777,572.266131,97968
1550.0,778,576.655997,98746
1300.0,1143,583.129586,99889
1280.0,811,587.691843,100700
2000.0,1353,595.317271,102053
830.0,886,600.285832,102939
1470.0,1571,609.167332,104510
730.0,354,611.189843,104864
1440.0,1668,620.580137,106532
1750.0,1420,628.644076,107952
1390.0,1053,634.606191,109005
1180.0,904,639.738882,109909
1500.0,1390,647.63723,111299
1370.0,1217,654.631354,112516
980.0,650,658.302966,113166
2300.0,1195,665.101375,114361
