total_timesteps,policy_entropy,nupdates,fps,value_loss,explained_variance
20,2.6389057636260986,1,25,6.100731116021052e-05,-1.1418325901031494
2000,2.638929605484009,100,543,0.0719095915555954,0.0009042620658874512
4000,2.6388516426086426,200,610,3.1813717214390635e-05,0.8743441700935364
6000,2.6389966011047363,300,636,1.17507061077049e-05,-2.176212787628174
8000,2.638897180557251,400,651,0.025035981088876724,0.002347886562347412
10000,2.6389708518981934,500,661,4.325719055486843e-05,-0.9981513023376465
12000,2.6389718055725098,600,669,0.09637022763490677,-0.031159043312072754
14000,2.638950824737549,700,675,0.0001229630142915994,0.7384606301784515
16000,2.6387410163879395,800,680,3.186566027579829e-05,0.9825014304369688
18000,2.6389384269714355,900,682,0.07041038572788239,0.0544811487197876
20000,2.638758897781372,1000,685,0.00019559884094633162,0.9371719732880592
22000,2.6353325843811035,1100,687,0.001765123917721212,0.9711574111133814
24000,2.6343464851379395,1200,688,0.4100682735443115,0.3327183127403259
26000,2.626418352127075,1300,689,0.0005385457770898938,0.9858890762552619
28000,2.625664234161377,1400,691,0.002972743008285761,0.9198266267776489
30000,2.634981632232666,1500,692,0.0004647606110665947,0.977553553879261
32000,2.6299681663513184,1600,692,0.001139714615419507,0.9552400000393391
34000,2.6204681396484375,1700,692,0.0015038474230095744,0.8904622420668602
36000,2.6261703968048096,1800,693,0.001101618749089539,0.9267165884375572
38000,2.61682391166687,1900,693,0.04251175373792648,0.17740964889526367
40000,2.6173102855682373,2000,693,0.0011982492869719863,0.9517803378403187
42000,2.6096014976501465,2100,694,0.0020298270974308252,0.7815352529287338
44000,2.6161997318267822,2200,694,0.0003604094672482461,0.9423410445451736
46000,2.6115190982818604,2300,694,0.00064724066760391,0.9857845930382609
48000,2.6133980751037598,2400,694,0.0005956433014944196,0.9789063837379217
50000,2.5722451210021973,2500,695,0.20951290428638458,-0.3244814872741699
52000,2.6127219200134277,2600,695,0.04091019183397293,-0.24325847625732422
54000,2.5884127616882324,2700,695,0.0010840055765584111,0.5931636095046997
56000,2.6042373180389404,2800,695,0.06161043792963028,-0.11230194568634033
58000,2.6222145557403564,2900,696,0.0005655056447722018,0.8914423286914825
60000,2.6083474159240723,3000,696,0.003110834863036871,0.1400599479675293
62000,2.601534366607666,3100,696,0.0018830947810783982,0.9376908987760544
64000,2.624901294708252,3200,696,0.0004201015399303287,0.9872136283665895
66000,2.606085777282715,3300,697,0.056465405970811844,0.20429646968841553
68000,2.616497039794922,3400,697,0.26537200808525085,0.1522952914237976
70000,2.5975661277770996,3500,697,0.26795509457588196,0.41891050338745117
72000,2.567255735397339,3600,697,0.0013604186242446303,0.9640968069434166
74000,2.5994303226470947,3700,697,0.0015590444672852755,0.9227893128991127
76000,2.6069412231445312,3800,697,0.000526421528775245,0.961372297257185
78000,2.6009113788604736,3900,698,0.11127614974975586,0.2692439556121826
80000,2.5703001022338867,4000,698,0.006251934915781021,0.8832429721951485
82000,2.6192877292633057,4100,698,0.0005843329709023237,0.7605752795934677
84000,2.5956101417541504,4200,698,0.24132123589515686,0.1557236909866333
86000,2.610945224761963,4300,698,0.001239353441633284,0.9398411400616169
88000,2.6110596656799316,4400,698,0.00047528231516480446,0.9623594060540199
90000,2.5856006145477295,4500,698,0.005030839238315821,0.945869367569685
92000,2.613840103149414,4600,698,0.0023458502255380154,0.8530415594577789
94000,2.6111748218536377,4700,698,0.012426359578967094,0.7225567400455475
96000,2.591409921646118,4800,698,0.005043848417699337,0.5368082225322723
98000,2.5208585262298584,4900,698,0.009333652444183826,0.8566672950983047
100000,2.594250202178955,5000,698,0.00040013808757066727,0.9734154623001814
102000,2.593858242034912,5100,698,0.0344507172703743,0.6282978057861328
104000,2.612053871154785,5200,698,0.07488672435283661,0.17426443099975586
106000,2.6016318798065186,5300,698,0.0005522764986380935,0.9852098990231752
108000,2.5200889110565186,5400,698,0.07597880065441132,0.14981460571289062
110000,2.532918930053711,5500,698,0.042659662663936615,0.7242105901241302
