#{"t_start": 1525584647.0997972, "env_id": "BeamRiderNoFrameskip-v4"}
r,l,t,i
484.0,1663,16.757219,1662
572.0,1372,26.811068,3034
176.0,1144,35.182342,4178
660.0,1307,44.775654,5485
308.0,1024,52.164751,6509
176.0,972,59.173822,7481
528.0,1561,70.672501,9042
572.0,1757,83.643447,10799
616.0,1710,96.16354,12509
308.0,900,102.815542,13409
572.0,1592,114.478472,15001
352.0,986,121.56566,15987
132.0,1016,129.035316,17003
352.0,1129,137.398304,18132
220.0,1123,145.649648,19255
264.0,1212,154.478307,20467
88.0,971,161.570254,21438
440.0,1356,171.731059,22794
352.0,1057,179.329072,23851
572.0,1872,192.956484,25723
440.0,1510,204.113305,27233
660.0,1878,217.803116,29111
308.0,1188,226.750037,30299
440.0,1689,239.006742,31988
484.0,1494,249.923343,33482
352.0,1321,259.441871,34803
176.0,1095,267.446663,35898
528.0,1529,278.593664,37427
352.0,1338,288.231474,38765
308.0,985,295.283225,39750
308.0,920,302.061209,40670
660.0,2195,318.182591,42865
176.0,939,324.991175,43804
440.0,1236,334.035015,45040
396.0,1406,344.261736,46446
352.0,1884,358.137009,48330
176.0,841,364.226887,49171
660.0,2410,381.735241,51581
484.0,1761,394.620792,53342
352.0,1220,403.429018,54562
352.0,1008,410.747318,55570
396.0,1126,418.972914,56696
308.0,1147,427.298554,57843
484.0,1558,438.750235,59401
352.0,1260,447.962969,60661
484.0,1338,457.70803,61999
852.0,2100,473.170111,64099
440.0,1567,484.76991,65666
352.0,1295,494.296252,66961
440.0,1937,508.486989,68898
220.0,1097,516.624749,69995
616.0,1980,531.24024,71975
484.0,1490,542.206724,73465
132.0,966,549.257272,74431
220.0,1193,558.055246,75624
440.0,1723,570.6855,77347
308.0,1471,581.5023,78818
660.0,1724,594.080545,80542
352.0,1126,602.239711,81668
264.0,1181,610.970531,82849
308.0,1325,620.759332,84174
440.0,1544,631.992653,85718
264.0,1398,642.25205,87116
308.0,1553,653.567596,88669
220.0,1225,662.545065,89894
660.0,1875,676.228592,91769
440.0,1488,687.134303,93257
220.0,929,693.94696,94186
352.0,1424,704.565738,95610
352.0,1101,712.685254,96711
308.0,1163,721.365878,97874
440.0,1302,730.897563,99176
220.0,979,737.975817,100155
176.0,1117,746.160311,101272
264.0,932,753.059979,102204
756.0,1791,766.34588,103995
572.0,1885,780.201132,105880
264.0,1010,787.580575,106890
176.0,1248,796.713042,108138
308.0,849,802.912107,108987
440.0,1553,814.272813,110540
