#{"t_start": 1525452676.0438828, "env_id": "BeamRiderNoFrameskip-v4"}
r,l,t,i
308.0,1817,9.726175,1816
308.0,929,13.696912,2745
176.0,1126,18.220584,3871
440.0,1255,23.256334,5126
484.0,1389,28.833016,6515
440.0,1011,32.983068,7526
396.0,940,36.822324,8466
440.0,1081,41.2398,9547
352.0,1189,46.091376,10736
220.0,1224,51.035365,11960
352.0,1015,55.12906,12975
220.0,1116,59.648143,14091
352.0,1129,64.210102,15220
264.0,1100,68.654079,16320
440.0,1159,73.368972,17479
440.0,1459,79.258519,18938
308.0,1528,85.455446,20466
484.0,1447,91.307396,21913
264.0,996,95.33901,22909
440.0,1358,100.823023,24267
528.0,1310,106.123674,25577
528.0,1601,112.519962,27178
440.0,1738,119.865948,28916
264.0,1173,124.621135,30089
484.0,1428,130.421523,31517
308.0,1160,135.105631,32677
352.0,1617,141.727116,34294
572.0,1460,147.882934,35754
616.0,1492,154.015225,37246
352.0,1358,159.478897,38604
484.0,1285,164.846709,39889
352.0,1450,170.716825,41339
220.0,847,174.144111,42186
220.0,998,178.186353,43184
528.0,1217,183.092636,44401
484.0,1488,189.108662,45889
396.0,1158,193.902453,47047
264.0,988,199.200595,48035
264.0,1209,206.065864,49244
264.0,1072,212.182229,50316
440.0,1450,220.320596,51766
308.0,1105,226.561874,52871
660.0,2298,239.465186,55169
352.0,1140,245.867715,56309
440.0,1219,252.910405,57528
484.0,1385,261.497528,58913
484.0,1707,272.2115,60620
352.0,1401,281.015254,62021
176.0,1139,288.395869,63160
396.0,1331,296.371814,64491
572.0,1441,304.870815,65932
264.0,1003,310.518066,66935
616.0,1997,321.788783,68932
484.0,1284,329.031937,70216
176.0,985,334.553613,71201
484.0,1376,342.449746,72577
616.0,1678,352.064999,74255
528.0,1821,362.575768,76076
308.0,1401,370.699673,77477
176.0,1182,377.361919,78659
440.0,1410,385.397436,80069
660.0,2935,402.139204,83004
308.0,1011,407.866322,84015
176.0,1176,414.560208,85191
660.0,2127,426.659493,87318
528.0,1811,437.010054,89129
528.0,1553,446.003291,90682
352.0,1370,453.906711,92052
264.0,1150,460.472266,93202
308.0,1354,468.307548,94556
660.0,2188,480.905143,96744
