#{"t_start": 1525601371.8681352, "env_id": "BowlingNoFrameskip-v4"}
r,l,t,i
31.0,2107,13.287182,2106
24.0,2112,23.216104,4218
24.0,2085,33.05947,6303
28.0,2133,43.114927,8436
30.0,2131,53.076222,10567
19.0,2097,62.996083,12664
20.0,2093,72.8322,14757
18.0,2098,82.790544,16855
25.0,2089,92.585697,18944
15.0,2085,102.518469,21029
15.0,2081,112.4398,23110
24.0,2117,122.431385,25227
21.0,2087,132.369404,27314
23.0,2125,142.423713,29439
28.0,2108,152.299083,31547
20.0,2105,162.211854,33652
27.0,2126,172.201611,35778
32.0,2117,182.127316,37895
31.0,2124,192.175323,40019
27.0,2126,202.157102,42145
21.0,2115,212.096671,44260
21.0,2096,221.876322,46356
25.0,2114,231.876327,48470
28.0,2116,241.841655,50586
23.0,2118,251.881444,52704
24.0,2115,261.846925,54819
27.0,2093,271.713187,56912
28.0,2111,281.662617,59023
18.0,2102,291.662124,61125
19.0,2085,301.593236,63210
25.0,2098,311.521254,65308
32.0,2120,321.5379,67428
16.0,2082,331.399796,69510
30.0,2134,341.467036,71644
27.0,2127,351.577046,73771
24.0,2129,361.634001,75900
25.0,2118,371.560312,78018
16.0,2089,381.360492,80107
22.0,2094,391.169441,82201
19.0,2105,401.123801,84306
20.0,2091,411.027474,86397
12.0,2079,420.914141,88476
21.0,2075,430.730026,90551
36.0,2135,440.884472,92686
21.0,2122,450.959095,94808
43.0,2114,461.041562,96922
30.0,2096,470.991478,99018
22.0,2102,480.877792,101120
34.0,2118,490.829885,103238
19.0,2094,500.695664,105332
31.0,2114,510.663143,107446
15.0,2117,520.608451,109563
25.0,2100,530.377678,111663
24.0,2109,540.293279,113772
15.0,2082,550.084219,115854
18.0,2086,559.882244,117940
28.0,2124,569.89476,120064
22.0,2088,579.710076,122152
22.0,2116,589.673255,124268
18.0,2092,599.592261,126360
28.0,2117,609.67591,128477
24.0,2124,619.715575,130601
26.0,2104,629.698127,132705
29.0,2126,639.841196,134831
31.0,2132,649.925088,136963
24.0,2109,659.860391,139072
21.0,2112,669.754855,141184
29.0,2123,679.786105,143307
24.0,2095,689.627822,145402
32.0,2126,699.465639,147528
27.0,2111,709.400221,149639
19.0,2081,719.177414,151720
31.0,2102,729.129432,153822
21.0,2112,739.128084,155934
24.0,2101,750.304314,158035
14.0,2107,760.420171,160142
12.0,2052,770.11497,162194
18.0,2130,780.256645,164324
30.0,2115,790.332991,166439
21.0,2110,800.325038,168549
30.0,2113,810.283873,170662
19.0,2099,820.220359,172761
25.0,2122,830.260504,174883
28.0,2155,840.371552,177038
21.0,2087,850.157244,179125
18.0,2086,859.90532,181211
28.0,2127,869.973192,183338
19.0,2089,879.712658,185427
19.0,2100,889.43769,187527
25.0,2105,899.307949,189632
22.0,2113,909.26132,191745
23.0,2114,919.15667,193859
23.0,2110,929.111855,195969
24.0,2103,939.102027,198072
35.0,2005,948.392031,200077
24.0,2105,958.427602,202182
27.0,2115,968.489884,204297
20.0,2129,978.521764,206426
22.0,2108,988.512872,208534
24.0,2107,998.603658,210641
16.0,2098,1008.460304,212739
19.0,2104,1018.273877,214843
30.0,2107,1028.312748,216950
18.0,2082,1038.005498,219032
27.0,2119,1047.973966,221151
21.0,2143,1058.209601,223294
20.0,2129,1068.255351,225423
31.0,2121,1078.370901,227544
