#{"t_start": 1525431081.035775, "env_id": "BowlingNoFrameskip-v4"}
r,l,t
23.0,2107,12.783489
19.0,2116,22.679981
23.0,2107,32.51827
32.0,2117,42.514843
30.0,2127,52.383834
24.0,2115,62.158039
13.0,2089,71.880571
16.0,2111,81.69356
22.0,2107,91.561952
22.0,2096,101.413855
21.0,2123,111.431726
28.0,2119,121.427263
28.0,2112,131.373488
30.0,2117,141.343326
23.0,2099,151.217369
31.0,2123,161.303863
22.0,2102,171.265161
25.0,2123,181.218129
17.0,2108,191.042592
10.0,2067,200.692112
34.0,2126,210.610295
24.0,2104,220.354836
32.0,2135,230.245576
23.0,2098,239.914557
27.0,2104,249.749724
27.0,2106,259.435403
28.0,2122,269.423589
25.0,2135,279.392447
52.0,2002,288.698505
24.0,2098,298.565026
25.0,2114,308.582591
18.0,2105,318.466877
21.0,2108,328.474084
21.0,2092,338.283202
24.0,2094,348.139573
17.0,2105,357.953946
28.0,2105,367.772773
22.0,2120,377.748821
27.0,2116,387.54361
31.0,2124,397.551553
22.0,2110,407.399363
28.0,2129,417.374012
15.0,2083,427.151412
27.0,2116,437.114711
14.0,2053,446.743614
30.0,2126,456.682022
22.0,2110,466.59987
25.0,2108,476.532604
36.0,2149,486.598694
25.0,2109,496.581466
25.0,2107,506.591624
25.0,2116,516.578654
20.0,2122,526.536179
27.0,2126,536.443982
25.0,2121,546.402817
31.0,2121,556.443201
21.0,2088,566.054112
33.0,2111,575.997619
27.0,2127,585.891544
23.0,2102,595.673765
24.0,2097,605.474206
25.0,2118,615.314463
32.0,2129,625.34878
25.0,2107,635.253923
24.0,2106,645.180032
25.0,2079,654.976305
17.0,2110,664.875038
33.0,2095,674.710799
19.0,2106,684.699862
31.0,2125,694.730453
22.0,2100,704.542283
29.0,2132,714.495597
16.0,2101,724.278357
24.0,2102,734.158959
39.0,2127,744.078873
21.0,2098,753.872716
19.0,2097,763.615576
22.0,2095,773.367667
21.0,2115,783.15536
28.0,2109,792.911823
21.0,2117,802.71178
24.0,2090,812.390873
27.0,2121,822.354852
18.0,2097,832.172873
27.0,2119,842.236812
19.0,2112,852.241129
28.0,2113,862.220417
24.0,2125,872.18152
28.0,2110,882.1085
19.0,2084,891.863982
30.0,2141,901.863446
22.0,2087,911.505162
22.0,2108,921.261304
16.0,2076,930.804286
36.0,2110,940.777647
27.0,2113,950.762767
31.0,2130,960.574538
34.0,2135,970.505704
39.0,2134,980.559169
21.0,2126,990.516855
29.0,2126,1000.363153
25.0,2108,1010.358806
29.0,2109,1020.248935
27.0,2119,1030.198059
25.0,2149,1040.310091
27.0,2120,1050.387903
30.0,2105,1060.383568
30.0,2118,1070.256654
18.0,2113,1080.135717
22.0,2120,1090.021207
24.0,2105,1099.833009
30.0,2126,1109.786173
23.0,2144,1119.81235
19.0,2094,1129.651993
27.0,2123,1139.628525
15.0,2094,1149.451336
22.0,2108,1159.357282
17.0,2093,1169.165241
21.0,2121,1179.055066
24.0,2116,1188.935954
35.0,2137,1198.945163
22.0,2111,1208.793519
27.0,2134,1218.7923
17.0,2099,1228.600776
24.0,2115,1238.443082
24.0,2114,1248.259041
22.0,2106,1258.069249
30.0,2110,1267.82027
22.0,2109,1277.577185
31.0,2138,1287.589322
21.0,2096,1297.438092
27.0,2102,1307.266245
28.0,2136,1317.221652
25.0,2126,1327.1908
25.0,2111,1337.215872
28.0,2119,1347.159745
25.0,2106,1357.158268
31.0,2108,1367.164482
28.0,2108,1377.061478
18.0,2128,1386.939883
24.0,2117,1396.809251
27.0,2139,1406.886604
24.0,2109,1416.717085
22.0,2115,1426.54361
18.0,2096,1436.224491
33.0,2150,1446.231115
20.0,2115,1456.031086
15.0,2116,1465.972515
25.0,2123,1475.910305
36.0,2146,1485.939357
17.0,2102,1495.782914
30.0,2131,1505.76897
36.0,2114,1515.624853
27.0,2122,1525.515289
29.0,2103,1535.392834
16.0,2100,1545.30511
32.0,2120,1555.131227
21.0,2102,1564.926096
21.0,2112,1574.892401
31.0,2121,1584.768963
18.0,2080,1594.542531
16.0,2078,1604.18448
21.0,2089,1613.773745
22.0,2108,1623.60784
36.0,2122,1633.490296
27.0,2135,1643.458403
30.0,2147,1653.428547
17.0,2114,1663.244271
19.0,2089,1673.063293
19.0,2093,1682.83336
17.0,2129,1692.754959
22.0,2096,1702.604466
20.0,1969,1712.011971
30.0,2141,1721.993844
25.0,2098,1731.971272
37.0,2139,1741.96093
31.0,2119,1751.846585
28.0,2127,1761.719962
17.0,2097,1771.524446
30.0,2132,1781.496897
18.0,2147,1791.433558
31.0,2131,1801.383199
24.0,2100,1811.129499
18.0,2103,1820.870806
30.0,2108,1830.790059
32.0,2138,1840.754101
24.0,2114,1850.6146
17.0,2106,1860.507114
23.0,2096,1870.470299
18.0,2102,1880.429649
30.0,2134,1890.503499
20.0,2106,1900.449768
22.0,2113,1910.321147
33.0,2110,1920.218732
28.0,2090,1930.025749
25.0,2131,1939.904011
23.0,2132,1949.873255
24.0,2117,1959.732284
31.0,2098,1969.577728
16.0,2100,1979.316033
17.0,2099,1989.03485
22.0,2134,1998.879356
31.0,2129,2008.862658
25.0,2119,2019.066299
18.0,2077,2028.702556
28.0,2136,2038.694266
