fps,value_loss,nupdates,policy_entropy,explained_variance,total_timesteps
27,0.04228321462869644,1,1.791735053062439,-1190.458984375,20
629,1.582101685926318e-05,100,1.791724443435669,-0.26846468448638916,2000
716,3.5300592571729794e-05,200,1.7916901111602783,-0.6138198375701904,4000
754,7.17119692126289e-05,300,1.7916843891143799,0.15758079290390015,6000
775,5.970059282844886e-05,400,1.791548728942871,0.053739190101623535,8000
791,3.665444819489494e-05,500,1.7911571264266968,-1.8626728057861328,10000
800,3.1013642001198605e-05,600,1.7908680438995361,-13.678811073303223,12000
807,5.7824927353067324e-05,700,1.7910699844360352,-0.6882086992263794,14000
811,0.07437437027692795,800,1.7901216745376587,0.0010197758674621582,16000
815,6.300672248471528e-05,900,1.7748308181762695,-2.538992166519165,18000
820,3.9823200495447963e-05,1000,1.7881711721420288,-3.6807336807250977,20000
821,7.928701961645856e-05,1100,1.7829958200454712,-0.922378659248352,22000
822,9.900392797135282e-06,1200,1.7897615432739258,-9.232123374938965,24000
824,0.09723983705043793,1300,1.787592887878418,0.0008868575096130371,26000
826,2.454908099025488e-05,1400,1.7880386114120483,-0.179967999458313,28000
828,1.3997382666275371e-05,1500,1.7907928228378296,-1.3606464862823486,30000
829,0.09444905072450638,1600,1.790887475013733,0.002646505832672119,32000
829,3.794047006522305e-05,1700,1.7880151271820068,-0.005831718444824219,34000
831,2.0664616386056878e-05,1800,1.791428804397583,-1.2807085514068604,36000
833,0.023510141298174858,1900,1.7888386249542236,-0.008220076560974121,38000
834,6.275037594605237e-05,2000,1.790888786315918,0.010215818881988525,40000
834,4.325120971770957e-05,2100,1.7907737493515015,-0.18647682666778564,42000
835,2.0488700101850554e-05,2200,1.791382074356079,-0.1804882287979126,44000
836,1.545195482322015e-05,2300,1.791601538658142,0.0893181562423706,46000
835,2.44643979385728e-05,2400,1.7913554906845093,0.0625496506690979,48000
836,5.0960319640580565e-05,2500,1.7914501428604126,-0.32798731327056885,50000
836,3.724345879163593e-05,2600,1.791250467300415,-0.17831385135650635,52000
836,0.00010772117093438283,2700,1.791073203086853,-0.3045395612716675,54000
837,2.113077607646119e-05,2800,1.7910820245742798,-0.31924307346343994,56000
838,5.438834705273621e-05,2900,1.7913087606430054,-0.12643635272979736,58000
838,4.680358324549161e-05,3000,1.7909002304077148,-0.3844032287597656,60000
838,4.100413207197562e-05,3100,1.7914695739746094,0.4039158821105957,62000
839,0.023460902273654938,3200,1.7901932001113892,0.014321446418762207,64000
838,4.0076767618302256e-05,3300,1.7906901836395264,-0.4551323652267456,66000
838,1.0317981832486112e-05,3400,1.787576675415039,-0.17115914821624756,68000
839,7.0558613515459e-05,3500,1.790771722793579,0.0674695372581482,70000
839,5.8198707847623155e-05,3600,1.7910165786743164,0.08415645360946655,72000
839,5.7840359659167007e-05,3700,1.791206955909729,0.252166211605072,74000
840,6.39168283669278e-05,3800,1.7912304401397705,-0.0388108491897583,76000
840,3.609921259339899e-05,3900,1.7914626598358154,0.174446702003479,78000
840,2.1819398170919158e-05,4000,1.790994644165039,0.4786885976791382,80000
840,2.9843726224498823e-05,4100,1.791094422340393,0.8100201785564423,82000
840,2.8498971005319618e-05,4200,1.7903339862823486,0.5441183745861053,84000
840,5.507094465428963e-05,4300,1.790630578994751,0.4130512475967407,86000
840,3.726776412804611e-05,4400,1.789516806602478,-0.5177880525588989,88000
840,1.9990808141301386e-05,4500,1.7901060581207275,0.06080251932144165,90000
840,6.589643453480676e-05,4600,1.7900079488754272,-0.19959139823913574,92000
839,7.976908818818629e-06,4700,1.7881397008895874,-0.7964348793029785,94000
840,2.685177059902344e-05,4800,1.790773630142212,0.23458850383758545,96000
840,2.109534034389071e-05,4900,1.7909715175628662,0.5277077257633209,98000
840,0.02429797127842903,5000,1.790177345275879,0.0034261345863342285,100000
840,3.5198780096834525e-05,5100,1.79086172580719,0.07438772916793823,102000
840,5.205211346037686e-05,5200,1.7908744812011719,-0.4403940439224243,104000
840,5.830865120515227e-05,5300,1.790616750717163,-0.44159841537475586,106000
840,6.560342444572598e-05,5400,1.7888469696044922,-0.8051166534423828,108000
840,4.5957567635923624e-05,5500,1.7907259464263916,-0.24751818180084229,110000
840,8.783860539551824e-05,5600,1.7906429767608643,-0.08298468589782715,112000
840,8.334346057381481e-05,5700,1.7906665802001953,-0.4016129970550537,114000
840,4.8903799324762076e-05,5800,1.790926218032837,0.3542863130569458,116000
