#{"t_start": 1525434837.8086615, "env_id": "BowlingNoFrameskip-v4"}
r,l,t
18.0,2076,16.709708
31.0,2108,28.135071
31.0,2110,39.713947
28.0,2132,51.242977
31.0,2107,62.641686
23.0,2113,74.084854
31.0,2117,85.477958
18.0,2111,96.892691
25.0,2106,108.262712
34.0,2113,119.724964
32.0,2134,131.334964
23.0,2109,142.883491
24.0,2099,154.316049
27.0,2121,165.878441
13.0,2107,177.327791
21.0,2112,188.666286
15.0,2108,200.061515
22.0,2098,211.350635
17.0,2094,222.543511
23.0,2099,233.905011
33.0,2123,245.358011
22.0,2098,256.872695
31.0,2154,268.439775
19.0,2124,279.963601
25.0,2142,291.569526
19.0,2122,302.999254
22.0,2093,314.320565
27.0,2105,325.67732
27.0,2130,337.229488
17.0,2097,348.548183
21.0,2090,359.837625
21.0,2132,371.46504
27.0,2110,382.78749
33.0,2144,394.463172
21.0,2094,405.861547
19.0,2101,417.266172
32.0,2124,428.806863
27.0,2132,440.261313
28.0,2126,451.700348
28.0,2139,463.31268
22.0,2111,474.640463
16.0,2102,485.891974
16.0,2111,497.293952
22.0,2115,508.589399
24.0,2129,520.075412
32.0,2119,531.470124
18.0,2103,543.00065
29.0,2122,554.417623
21.0,2130,565.921131
25.0,2139,577.43847
27.0,2102,588.748534
33.0,2143,600.254773
20.0,2096,611.512748
24.0,2110,622.822353
21.0,2094,634.000129
21.0,2130,645.533298
30.0,2117,657.066894
20.0,2120,668.572183
18.0,2109,679.96573
42.0,2127,691.341038
24.0,2089,702.587143
18.0,2119,714.049058
30.0,2104,725.437043
33.0,2126,736.905598
25.0,2109,748.214353
19.0,2109,759.452626
15.0,2116,770.707055
33.0,2129,781.78459
30.0,2131,793.111619
19.0,2102,804.193634
21.0,2126,815.418067
21.0,2123,826.567573
18.0,2088,837.56932
21.0,2098,848.420604
24.0,2109,859.52453
24.0,2154,870.889464
19.0,2110,881.957637
13.0,2062,892.707259
13.0,2099,903.657844
20.0,2126,914.680078
21.0,2097,925.51863
18.0,2097,936.376944
19.0,2106,947.495291
24.0,2103,958.492617
22.0,2111,969.614558
21.0,2093,980.570687
24.0,2075,991.466372
31.0,2127,1002.741867
19.0,2104,1013.733961
22.0,2115,1024.835904
31.0,2132,1035.995846
28.0,2100,1047.084039
33.0,2158,1058.369298
16.0,2135,1069.437035
25.0,2117,1080.5716
20.0,2119,1091.701221
24.0,2117,1102.701559
27.0,2089,1113.638608
19.0,2094,1124.620057
21.0,2105,1135.756587
21.0,2103,1146.848709
21.0,2092,1157.837668
21.0,2112,1168.970113
34.0,2117,1180.10012
34.0,2127,1191.270149
21.0,2070,1202.153689
22.0,2105,1213.196095
27.0,2089,1224.112486
36.0,2131,1235.316378
27.0,2120,1246.280504
33.0,2113,1257.384454
28.0,2124,1268.536332
24.0,2108,1279.571992
23.0,2109,1290.701504
24.0,2096,1301.789051
25.0,2117,1312.940536
24.0,2111,1324.04682
27.0,2102,1335.114271
20.0,2122,1346.248248
30.0,2128,1357.466936
23.0,2101,1368.38984
28.0,2121,1379.371631
26.0,2098,1390.395367
27.0,2119,1401.50485
23.0,2119,1412.485764
33.0,2109,1423.533744
20.0,2109,1434.527006
20.0,2129,1445.612819
21.0,2105,1456.608178
22.0,2112,1467.716872
15.0,2073,1478.599561
33.0,2115,1489.773285
17.0,2098,1500.863733
18.0,2125,1512.054596
16.0,2106,1523.108306
13.0,2094,1534.07487
27.0,2104,1545.097796
18.0,2116,1556.210544
19.0,2093,1567.257363
19.0,2120,1578.336866
