#{"t_start": 1525600847.6899867, "env_id": "BowlingNoFrameskip-v4"}
r,l,t,i
24.0,2086,17.631585,2085
24.0,2119,29.10863,4204
18.0,2121,40.768277,6325
25.0,2099,52.226149,8424
22.0,2102,63.532073,10526
18.0,2084,74.803839,12610
11.0,2076,86.068867,14686
22.0,2107,97.617265,16793
24.0,2123,109.170887,18916
21.0,2108,120.668653,21024
27.0,2121,132.157987,23145
21.0,2097,143.543963,25242
23.0,2116,155.070502,27358
29.0,2132,166.642236,29490
18.0,2081,177.92136,31571
24.0,2093,189.232352,33664
21.0,2088,200.570396,35752
37.0,2125,212.100262,37877
21.0,2117,223.591784,39994
17.0,2092,234.952236,42086
26.0,2131,246.560477,44217
27.0,2093,258.127749,46310
22.0,2103,269.555973,48413
25.0,2099,280.870685,50512
30.0,2130,292.558913,52642
23.0,2120,304.16549,54762
19.0,2108,315.666304,56870
16.0,2082,326.92852,58952
27.0,2139,338.558695,61091
15.0,2101,350.031593,63192
24.0,2098,361.482342,65290
33.0,2119,372.994389,67409
27.0,2123,384.523351,69532
30.0,2132,396.114201,71664
25.0,2098,407.621924,73762
22.0,2102,419.084389,75864
25.0,2129,430.749541,77993
28.0,2101,442.24307,80094
18.0,2113,453.816443,82207
33.0,2085,465.148022,84292
17.0,2101,476.659677,86393
29.0,2116,488.261979,88509
12.0,2084,499.701459,90593
33.0,2123,511.404598,92716
22.0,2135,522.768091,94851
31.0,2123,533.846561,96974
26.0,2126,545.147064,99100
31.0,2126,556.380972,101226
28.0,2137,567.702906,103363
24.0,2101,578.708121,105464
39.0,2102,589.752677,107566
21.0,2105,600.756854,109671
28.0,2133,612.039204,111804
21.0,2111,623.209164,113915
18.0,2082,634.263095,115997
24.0,2111,645.354472,118108
25.0,2117,656.447227,120225
31.0,2125,667.725166,122350
24.0,2083,678.783142,124433
16.0,2097,689.870787,126530
20.0,2097,700.92459,128627
25.0,2136,712.373028,130763
24.0,2088,723.436102,132851
31.0,2128,734.6523,134979
24.0,2109,745.72526,137088
30.0,2148,756.985316,139236
11.0,2094,768.074455,141330
25.0,2128,779.407824,143458
18.0,2086,790.49925,145544
22.0,2108,801.689065,147652
24.0,2109,812.901656,149761
16.0,2079,823.917656,151840
33.0,2097,835.087039,153937
13.0,2086,846.031258,156023
36.0,2116,857.240022,158139
25.0,2110,868.288132,160249
27.0,2112,879.388274,162361
28.0,2121,890.593942,164482
32.0,2141,901.791608,166623
30.0,2135,913.183699,168758
31.0,2120,924.427793,170878
21.0,2096,935.516928,172974
21.0,2110,946.729232,175084
32.0,2130,957.965717,177214
27.0,2115,969.182618,179329
25.0,2095,980.159563,181424
33.0,2161,991.467611,183585
27.0,2120,1002.611826,185705
24.0,2129,1013.685186,187834
30.0,2111,1024.708436,189945
37.0,2099,1035.778308,192044
30.0,2093,1046.80293,194137
19.0,2107,1057.817503,196244
22.0,2094,1068.755125,198338
28.0,2123,1079.885498,200461
34.0,2138,1091.231244,202599
30.0,2131,1102.433541,204730
21.0,2096,1113.428587,206826
25.0,2136,1124.599414,208962
29.0,2088,1135.505259,211050
29.0,2121,1146.634462,213171
24.0,2105,1157.777829,215276
17.0,2114,1168.780954,217390
24.0,2132,1179.896774,219522
34.0,2079,1190.744713,221601
28.0,2115,1201.761167,223716
26.0,2108,1212.909543,225824
30.0,2109,1223.896803,227933
22.0,2094,1234.863718,230027
22.0,2109,1246.024328,232136
27.0,2129,1257.22247,234265
30.0,2130,1269.039813,236395
15.0,2081,1280.582613,238476
28.0,2122,1291.723015,240598
28.0,2139,1302.961269,242737
33.0,2123,1314.174066,244860
15.0,2108,1325.231203,246968
28.0,2127,1336.304184,249095
22.0,2096,1347.320229,251191
19.0,2096,1358.214545,253287
16.0,2116,1369.413723,255403
19.0,2086,1380.448899,257489
24.0,2116,1391.551582,259605
15.0,2107,1402.647385,261712
15.0,2067,1413.475247,263779
15.0,2075,1424.265316,265854
25.0,2094,1435.341441,267948
28.0,2103,1446.360606,270051
22.0,2128,1457.498565,272179
21.0,2097,1468.53495,274276
33.0,2130,1479.714865,276406
30.0,2006,1490.284672,278412
30.0,2098,1501.382441,280510
18.0,2100,1512.423512,282610
16.0,2093,1523.577194,284703
29.0,2121,1534.77051,286824
40.0,2127,1546.117445,288951
25.0,2098,1557.139632,291049
20.0,2113,1568.202598,293162
21.0,2072,1579.094882,295234
29.0,2103,1590.145727,297337
24.0,2095,1601.039418,299432
20.0,2074,1612.059061,301506
24.0,2127,1623.261646,303633
20.0,2096,1634.15591,305729
25.0,2101,1645.220426,307830
25.0,2122,1656.399122,309952
24.0,2109,1667.502953,312061
25.0,2121,1678.818345,314182
24.0,2096,1689.868805,316278
18.0,2109,1700.885684,318387
23.0,2099,1711.995829,320486
20.0,2113,1723.004687,322599
22.0,2100,1734.042218,324699
14.0,2113,1745.199009,326812
22.0,2114,1756.308776,328926
24.0,2094,1767.324885,331020
27.0,2104,1778.368868,333124
18.0,2091,1789.336773,335215
27.0,2100,1800.412701,337315
18.0,2082,1811.440083,339397
21.0,2085,1822.443321,341482
25.0,2104,1833.60529,343586
21.0,2092,1844.722578,345678
21.0,2094,1855.667964,347772
24.0,2126,1866.936337,349898
24.0,2080,1877.912537,351978
22.0,2112,1889.080372,354090
27.0,2118,1900.258074,356208
21.0,2094,1911.284157,358302
18.0,2100,1922.436142,360402
30.0,2116,1933.681002,362518
30.0,2117,1944.919219,364635
13.0,2083,1955.967059,366718
28.0,2126,1967.157829,368844
21.0,2084,1978.121195,370928
22.0,2099,1989.232962,373027
28.0,2115,2000.358603,375142
21.0,2084,2011.354205,377226
21.0,2116,2022.571398,379342
27.0,2089,2033.651273,381431
21.0,2106,2045.019332,383537
19.0,2109,2056.285845,385646
33.0,2118,2067.336966,387764
15.0,2084,2078.392,389848
21.0,2096,2089.372895,391944
24.0,2122,2100.548311,394066
15.0,2096,2111.615207,396162
24.0,2101,2122.759356,398263
25.0,2121,2134.005795,400384
18.0,2081,2145.009143,402465
21.0,2082,2155.899821,404547
34.0,2134,2167.21931,406681
37.0,2131,2178.557579,408812
15.0,2086,2189.483085,410898
25.0,2115,2200.632676,413013
21.0,2106,2211.9207,415119
30.0,2122,2223.129975,417241
22.0,2112,2234.24769,419353
21.0,2093,2245.188502,421446
15.0,2097,2256.198433,423543
22.0,2111,2267.268297,425654
27.0,2098,2278.397035,427752
25.0,2140,2289.659836,429892
30.0,2130,2300.91696,432022
18.0,2077,2311.830432,434099
24.0,2105,2323.054477,436204
25.0,2104,2334.136454,438308
22.0,2111,2345.360109,440419
28.0,2133,2356.727422,442552
27.0,2151,2368.12844,444703
19.0,2103,2379.190083,446806
21.0,2124,2390.395037,448930
22.0,2102,2401.474145,451032
26.0,2118,2412.633467,453150
21.0,2088,2423.692098,455238
27.0,2116,2435.009881,457354
15.0,2092,2446.076466,459446
30.0,2107,2457.321565,461553
24.0,2144,2468.572003,463697
27.0,2113,2479.692916,465810
27.0,2111,2490.835283,467921
22.0,2109,2501.921024,470030
30.0,2088,2512.971241,472118
24.0,2122,2524.184976,474240
16.0,2101,2535.205222,476341
11.0,2092,2546.191228,478433
24.0,2115,2557.438599,480548
27.0,2111,2568.614727,482659
19.0,2097,2579.658825,484756
31.0,2087,2590.685249,486843
20.0,2116,2601.785251,488959
26.0,2133,2613.031936,491092
25.0,2081,2623.989537,493173
37.0,2131,2635.190506,495304
15.0,2089,2646.142686,497393
25.0,2091,2657.105048,499484
26.0,2124,2668.571762,501608
26.0,2142,2679.983994,503750
28.0,2096,2691.101734,505846
31.0,2119,2702.351672,507965
30.0,2113,2713.449561,510078
26.0,2113,2724.547063,512191
23.0,2116,2735.728125,514307
20.0,2123,2746.944404,516430
17.0,2101,2758.069808,518531
21.0,2096,2769.169866,520627
20.0,2109,2780.399299,522736
19.0,2088,2791.422356,524824
24.0,2097,2802.579477,526921
16.0,2097,2813.606888,529018
18.0,2079,2824.597021,531097
12.0,2079,2835.519385,533176
15.0,2088,2846.486101,535264
21.0,2095,2857.494192,537359
23.0,2124,2868.58294,539483
28.0,2102,2879.736146,541585
18.0,2108,2890.991492,543693
25.0,2116,2902.213079,545809
27.0,2086,2913.257226,547895
26.0,2132,2924.552635,550027
28.0,2131,2935.648432,552158
31.0,2121,2946.795366,554279
26.0,2128,2958.181381,556407
26.0,2010,2968.858164,558417
22.0,2105,2980.040025,560522
25.0,2115,2991.121748,562637
34.0,2134,3002.254368,564771
25.0,2136,3013.572569,566907
25.0,2127,3024.805007,569034
18.0,2117,3035.868984,571151
18.0,2102,3047.164504,573253
