#{"t_start": 1525515728.907585, "env_id": "DoubleDunkNoFrameskip-v4"}
r,l,t,i
-22.0,1878,13.412654,1877
-18.0,1727,22.910913,3604
-22.0,2137,34.77318,5741
-18.0,2325,47.894649,8066
-24.0,1514,56.418872,9580
-20.0,1598,65.445599,11178
-12.0,2004,76.651268,13182
-20.0,1822,86.89976,15004
-18.0,1940,97.668618,16944
-14.0,1672,107.034305,18616
-20.0,2844,122.996774,21460
-22.0,1308,130.300578,22768
-20.0,1667,139.507619,24435
-20.0,2452,153.227191,26887
-12.0,1819,163.41308,28706
-24.0,2363,176.653483,31069
-22.0,1511,185.202544,32580
-22.0,1931,196.091683,34511
-24.0,2152,208.288269,36663
-20.0,1990,219.535709,38653
-20.0,1561,228.27646,40214
-24.0,1558,237.19189,41772
-22.0,2216,249.638289,43988
-14.0,1939,260.565725,45927
-22.0,1693,269.993594,47620
-18.0,1999,281.185537,49619
-18.0,2309,294.099674,51928
-14.0,1635,303.307225,53563
-20.0,1613,312.280528,55176
-20.0,1800,322.258599,56976
-18.0,2987,339.109342,59963
-10.0,2185,351.345523,62148
-22.0,1258,358.485456,63406
-16.0,1928,369.285954,65334
-16.0,1952,380.176651,67286
-16.0,2214,392.588653,69500
-18.0,2075,404.208236,71575
-20.0,2334,417.35014,73909
-20.0,1998,428.523844,75907
-14.0,2172,440.497521,78079
-18.0,1885,450.967456,79964
-22.0,2013,462.096529,81977
-22.0,1417,470.021966,83394
-18.0,1802,479.98767,85196
-18.0,1666,489.25254,86862
-22.0,1852,499.435282,88714
-20.0,1367,507.219581,90081
-20.0,1610,516.158382,91691
-22.0,1918,526.836064,93609
-24.0,1952,537.74102,95561
-18.0,2048,549.284991,97609
-18.0,1568,558.071793,99177
-14.0,2123,569.85297,101300
-20.0,1931,580.679146,103231
-18.0,1950,591.610709,105181
-14.0,3021,608.382956,108202
-18.0,1824,618.427452,110026
-16.0,1761,628.130901,111787
-18.0,1886,638.553934,113673
-22.0,1813,648.754669,115486
-20.0,1874,659.123076,117360
-22.0,1671,668.330631,119031
-18.0,2005,679.956486,121036
-24.0,1668,689.274499,122704
-18.0,1808,699.520195,124512
-12.0,2203,712.108676,126715
-18.0,2449,726.096481,129164
-18.0,2398,739.637673,131562
-20.0,1808,749.807494,133370
-14.0,2210,762.333648,135580
-20.0,1686,771.777124,137266
-20.0,1870,782.250195,139136
-16.0,1611,791.337204,140747
-16.0,1881,801.704239,142628
-24.0,1511,810.167104,144139
-16.0,2061,821.539361,146200
-16.0,1597,830.434035,147797
-22.0,1748,840.176087,149545
-16.0,1737,849.972433,151282
-20.0,2206,862.464098,153488
-20.0,1866,873.004776,155354
-18.0,2134,885.109343,157488
-18.0,2638,900.019997,160126
-16.0,2243,912.677074,162369
-16.0,1648,921.923059,164017
-20.0,1771,931.876788,165788
-22.0,1691,941.365583,167479
-16.0,2280,954.17704,169759
-20.0,1496,962.415161,171255
-22.0,1994,973.519379,173249
-18.0,1427,981.563986,174676
-20.0,1492,989.835186,176168
-14.0,1947,1000.746696,178115
-20.0,1671,1009.916163,179786
-20.0,1507,1018.335622,181293
-20.0,1820,1028.612695,183113
-20.0,2139,1040.666754,185252
-22.0,1754,1050.621497,187006
-16.0,2072,1062.265953,189078
-18.0,1877,1072.953951,190955
-20.0,1556,1081.77614,192511
-22.0,1825,1092.016293,194336
-18.0,2258,1104.653936,196594
-20.0,1936,1115.652319,198530
-20.0,2282,1128.433744,200812
-16.0,2520,1142.674194,203332
-24.0,1893,1153.487217,205225
-16.0,1929,1164.540844,207154
-14.0,1771,1174.776085,208925
-18.0,2132,1186.854123,211057
-24.0,1991,1198.231157,213048
-16.0,1600,1207.174266,214648
-16.0,2001,1218.569077,216649
-22.0,2397,1232.079589,219046
-14.0,2133,1244.026927,221179
-16.0,2056,1255.640375,223235
-16.0,1750,1265.519114,224985
-22.0,1804,1275.795243,226789
-14.0,1937,1286.613029,228726
-18.0,2020,1297.923155,230746
-16.0,1743,1307.814753,232489
-22.0,2012,1319.136813,234501
-18.0,2123,1331.314173,236624
-18.0,1687,1341.010785,238311
-18.0,1801,1351.189539,240112
-20.0,1802,1361.494842,241914
-16.0,1654,1370.881538,243568
-10.0,2786,1386.675172,246354
-16.0,2260,1399.317338,248614
-12.0,1936,1410.214069,250550
-12.0,1882,1420.941818,252432
-20.0,2028,1432.333993,254460
-14.0,1245,1439.319219,255705
-22.0,1744,1449.052186,257449
-22.0,2266,1461.734775,259715
-16.0,1867,1472.390205,261582
-18.0,1879,1483.12752,263461
-22.0,1773,1493.041879,265234
-18.0,1822,1503.286346,267056
-18.0,1867,1513.771086,268923
-10.0,2186,1526.010795,271109
-18.0,2194,1538.382003,273303
-18.0,2594,1552.949388,275897
-14.0,2242,1565.498865,278139
-20.0,2324,1578.521072,280463
-16.0,2526,1592.841021,282989
-18.0,2213,1605.320296,285202
-20.0,2276,1618.17122,287478
-20.0,1686,1627.68644,289164
-20.0,1934,1638.583802,291098
