#{"t_start": 1525515714.16328, "env_id": "DoubleDunkNoFrameskip-v4"}
r,l,t,i
-22.0,1703,14.764945,1702
-20.0,1730,25.324141,3432
-16.0,1925,36.859182,5357
-20.0,2458,51.822438,7815
-18.0,1547,61.478791,9362
-18.0,2509,77.086789,11871
-16.0,2178,90.613455,14049
-20.0,1758,101.577227,15807
-18.0,2076,114.51905,17883
-22.0,2064,127.423221,19947
-22.0,1740,138.248667,21687
-22.0,1877,149.820045,23564
-20.0,1934,161.722386,25498
-20.0,1688,172.153607,27186
-20.0,2398,187.105208,29584
-18.0,2274,201.060248,31858
-22.0,1677,211.488475,33535
-18.0,1675,221.88587,35210
-20.0,1291,229.96402,36501
-18.0,2061,242.785701,38562
-20.0,1861,254.315337,40423
-18.0,2528,270.143239,42951
-12.0,2074,282.942201,45025
-24.0,1632,293.119022,46657
-22.0,1863,304.633946,48520
-18.0,2777,321.834509,51297
-18.0,2568,337.723468,53865
-20.0,1674,348.215227,55539
-16.0,2442,363.319057,57981
-22.0,2011,375.828243,59992
-16.0,1960,388.199942,61952
-22.0,1953,400.442277,63905
-12.0,1957,412.686216,65862
-10.0,2306,427.05708,68168
-24.0,1927,439.009383,70095
-16.0,2011,451.373283,72106
-24.0,1811,462.591696,73917
-22.0,2813,479.990649,76730
-16.0,2333,494.388708,79063
-22.0,1740,505.162153,80803
-22.0,1550,514.758212,82353
-16.0,1632,524.891818,83985
-14.0,2002,537.344994,85987
-22.0,1809,548.628805,87796
-20.0,1760,559.5848,89556
-22.0,2322,574.011083,91878
-18.0,1870,585.667151,93748
-20.0,2131,599.02333,95879
-22.0,1889,610.898247,97768
-10.0,3025,629.56521,100793
-22.0,2334,644.087029,103127
-22.0,1263,651.979997,104390
-16.0,2006,664.398158,106396
-20.0,2020,677.10694,108416
-24.0,1865,688.643904,110281
-14.0,1991,701.521043,112272
-10.0,2640,718.110751,114912
-24.0,1805,729.598924,116717
-20.0,2007,742.21426,118724
-16.0,2221,756.221908,120945
-14.0,1795,767.733149,122740
-24.0,1429,776.791547,124169
-24.0,2318,791.393892,126487
-24.0,2369,806.377712,128856
-16.0,2398,821.359444,131254
-20.0,1810,832.65085,133064
-18.0,2122,845.927822,135186
-12.0,2513,861.567162,137699
-16.0,2189,875.201828,139888
-20.0,2511,890.745319,142399
-12.0,2252,904.789955,144651
-18.0,1641,915.111349,146292
-18.0,1743,926.03686,148035
-18.0,2000,938.614768,150035
-14.0,2443,953.964082,152478
-18.0,1874,965.700001,154352
-16.0,2118,978.964948,156470
-16.0,2433,994.178019,158903
-16.0,2325,1008.579154,161228
-16.0,2062,1021.461733,163290
-20.0,1480,1030.547347,164770
-10.0,2396,1045.530893,167166
-18.0,2442,1060.712855,169608
-10.0,2695,1077.666673,172303
-14.0,2310,1092.265727,174613
-14.0,2003,1104.75544,176616
-12.0,1866,1116.509429,178482
-22.0,1681,1126.997898,180163
-22.0,1787,1138.309653,181950
-20.0,1421,1147.31906,183371
-20.0,2320,1161.848289,185691
-12.0,2536,1177.893151,188227
-20.0,1728,1188.897558,189955
-24.0,1870,1200.597946,191825
-16.0,2338,1215.376301,194163
-16.0,2254,1229.614795,196417
-20.0,2144,1243.104491,198561
-22.0,1793,1254.564989,200354
-20.0,1875,1266.457019,202229
-16.0,1576,1276.362114,203805
-22.0,2301,1290.924881,206106
-16.0,2320,1305.430063,208426
-22.0,1889,1317.163604,210315
-20.0,2124,1330.542557,212439
-20.0,1605,1340.527526,214044
-20.0,1434,1349.570031,215478
-18.0,1484,1358.940634,216962
-20.0,1753,1370.104615,218715
-18.0,1568,1380.090345,220283
-14.0,2059,1393.214995,222342
-18.0,1488,1402.628331,223830
-16.0,1736,1413.573587,225566
-18.0,1565,1423.537356,227131
-22.0,2339,1438.374872,229470
-18.0,1816,1449.788642,231286
-20.0,1748,1460.80746,233034
-16.0,2439,1476.106163,235473
-16.0,1611,1486.396582,237084
-16.0,2497,1502.165659,239581
-18.0,1851,1513.805992,241432
-16.0,1694,1524.644455,243126
-20.0,2059,1537.821265,245185
-10.0,2650,1554.517181,247835
-22.0,1638,1564.894913,249473
-14.0,1936,1577.143951,251409
-22.0,2317,1591.741997,253726
-22.0,1539,1601.425939,255265
-18.0,2001,1613.987684,257266
-16.0,2634,1630.551194,259900
-20.0,2178,1644.182466,262078
-18.0,1999,1656.77309,264077
-18.0,1766,1667.948929,265843
-22.0,1789,1679.169891,267632
-18.0,2272,1693.570793,269904
-14.0,1808,1704.926101,271712
-20.0,2063,1717.997146,273775
-16.0,1489,1727.401238,275264
-22.0,1947,1739.541757,277211
-18.0,2208,1753.177959,279419
-20.0,1620,1763.215636,281039
-18.0,1552,1772.923626,282591
-18.0,1768,1783.976756,284359
-22.0,1427,1792.934694,285786
-20.0,2206,1806.740422,287992
-18.0,1949,1818.955263,289941
-14.0,2271,1833.16661,292212
-20.0,1866,1844.825265,294078
-20.0,2122,1858.100137,296200
-18.0,2135,1871.332523,298335
-20.0,1553,1881.017452,299888
-20.0,2450,1896.189371,302338
-20.0,1890,1907.969293,304228
-18.0,1608,1917.95379,305836
-22.0,1684,1928.508248,307520
-16.0,1940,1940.581556,309460
-14.0,2372,1955.406435,311832
-20.0,1684,1965.992388,313516
-16.0,2892,1984.091018,316408
-20.0,1830,1995.52522,318238
-16.0,2185,2009.191611,320423
-24.0,1360,2017.700178,321783
-20.0,2271,2031.754166,324054
-22.0,1958,2043.904863,326012
-18.0,2071,2056.836969,328083
-18.0,2013,2069.395074,330096
-16.0,2686,2086.144544,332782
-20.0,2008,2098.771363,334790
-10.0,3004,2117.491039,337794
-22.0,1867,2129.271244,339661
-18.0,1930,2141.406229,341591
-20.0,1660,2151.824745,343251
-18.0,1746,2162.654461,344997
-18.0,2455,2178.012945,347452
-20.0,1927,2189.942883,349379
-20.0,2060,2202.745797,351439
-14.0,1686,2213.340139,353125
-10.0,1998,2225.874692,355123
-22.0,2204,2239.755853,357327
-18.0,1679,2250.3157,359006
-24.0,1629,2260.582677,360635
-18.0,2201,2274.407619,362836
-20.0,1679,2284.9505,364515
-22.0,1997,2297.499781,366512
-20.0,1377,2306.119496,367889
-14.0,2207,2319.929371,370096
-22.0,2170,2333.657449,372266
-14.0,2517,2349.473601,374783
-22.0,1694,2360.118121,376477
-24.0,2065,2373.125944,378542
-20.0,1561,2382.986134,380103
-18.0,1740,2393.992834,381843
-16.0,2083,2407.09505,383926
-20.0,2056,2419.968476,385982
-22.0,1594,2429.937008,387576
-16.0,2075,2442.800504,389651
-10.0,2394,2457.587261,392045
-22.0,1865,2469.252292,393910
-16.0,2068,2482.065103,395978
-16.0,2303,2496.387846,398281
-22.0,1494,2505.663843,399775
-22.0,1683,2516.154842,401458
-22.0,1497,2525.567082,402955
-22.0,1999,2538.117647,404954
-18.0,1481,2547.504424,406435
-22.0,2284,2561.759446,408719
-14.0,1742,2572.577015,410461
-22.0,1684,2582.94882,412145
-18.0,2263,2596.975412,414408
-20.0,1743,2607.620661,416151
-18.0,1743,2618.360248,417894
-18.0,1816,2629.568483,419710
-22.0,1210,2637.125606,420920
-20.0,2125,2650.341382,423045
-16.0,2370,2665.136751,425415
-22.0,1548,2674.837829,426963
-20.0,1691,2685.435049,428654
-18.0,2512,2701.361841,431166
-22.0,2121,2714.780052,433287
-24.0,1923,2726.915844,435210
-22.0,2135,2740.337665,437345
-18.0,1641,2750.656747,438986
-20.0,1732,2761.406302,440718
-22.0,1292,2769.435163,442010
-16.0,1888,2781.108207,443898
-18.0,2321,2795.369546,446219
-20.0,1883,2807.197157,448102
-22.0,2117,2820.40534,450219
-16.0,1568,2830.166975,451787
-16.0,2116,2843.386207,453903
-22.0,1616,2853.43793,455519
-16.0,1791,2864.410381,457310
-16.0,2071,2877.307604,459381
-18.0,2461,2892.667382,461842
-14.0,2653,2909.12404,464495
-18.0,2188,2922.682978,466683
-10.0,2117,2935.846257,468800
-20.0,2240,2949.727581,471040
-20.0,2071,2962.850631,473111
-20.0,1868,2974.559537,474979
-24.0,1695,2985.270503,476674
-18.0,1867,2997.038771,478541
-12.0,3112,3016.518608,481653
-18.0,1819,3027.72826,483472
-16.0,2389,3042.555985,485861
-18.0,1854,3054.179319,487715
-22.0,2063,3066.942073,489778
-22.0,1220,3074.540531,490998
-16.0,1760,3085.419998,492758
-20.0,1627,3095.601148,494385
-22.0,1995,3108.086164,496380
-20.0,2057,3121.04513,498437
-12.0,2583,3137.415024,501020
-16.0,2319,3152.036779,503339
-20.0,2246,3166.06201,505585
-10.0,2019,3178.830264,507604
-12.0,2207,3192.667304,509811
-22.0,1892,3204.454244,511703
-20.0,1802,3215.674426,513505
-22.0,1952,3227.828338,515457
-16.0,2059,3240.679474,517516
-22.0,1935,3252.80872,519451
-22.0,2193,3266.404399,521644
-16.0,1989,3278.802894,523633
-16.0,2248,3292.926083,525881
-16.0,2395,3308.009017,528276
-22.0,1929,3320.051657,530205
-16.0,2269,3334.174487,532474
-22.0,1887,3346.041462,534361
-20.0,1822,3357.394707,536183
-16.0,1933,3369.414869,538116
-16.0,2875,3387.403505,540991
-18.0,2257,3401.487135,543248
-16.0,2221,3415.49357,545469
-14.0,2397,3430.567337,547866
-18.0,2387,3445.585226,550253
-22.0,1937,3457.803418,552190
-20.0,1627,3468.04633,553817
-18.0,1872,3479.802715,555689
-22.0,2183,3493.551514,557872
-22.0,1833,3504.928341,559705
-18.0,1758,3516.099742,561463
-14.0,2849,3534.058648,564312
-22.0,2046,3546.936728,566358
-22.0,1708,3557.64351,568066
-20.0,1580,3567.677707,569646
