#{"t_start": 1525402155.9304774, "env_id": "FrostbiteNoFrameskip-v4"}
r,l,t
70.0,339,5.881014
60.0,341,7.61239
40.0,340,9.397295
50.0,369,11.324235
110.0,393,13.334922
90.0,457,15.711923
150.0,501,18.304121
120.0,542,21.160951
80.0,496,23.715689
150.0,419,25.840552
70.0,370,27.782746
90.0,435,30.517625
160.0,408,34.143372
120.0,588,38.214774
30.0,376,40.872978
50.0,362,43.479936
40.0,299,45.52826
0.0,243,47.250698
60.0,336,49.602031
10.0,292,51.681763
40.0,322,53.953528
50.0,414,56.904564
50.0,462,60.182512
10.0,293,62.220429
60.0,356,64.650668
130.0,510,68.220561
120.0,396,70.984716
30.0,346,73.437465
40.0,277,75.372314
150.0,421,78.383975
110.0,447,81.551881
50.0,347,84.004306
140.0,537,87.792516
40.0,354,90.302849
60.0,352,92.794283
30.0,323,95.146644
90.0,485,98.568065
70.0,430,101.643363
120.0,387,104.351182
20.0,282,106.336369
50.0,334,108.704997
130.0,587,112.83925
30.0,305,114.9716
90.0,436,118.158461
50.0,319,120.394591
150.0,572,124.52724
40.0,311,126.654639
100.0,372,129.316699
60.0,362,131.873293
120.0,477,135.330208
90.0,460,138.548118
80.0,342,140.921816
30.0,358,143.432766
100.0,394,146.179946
130.0,455,149.401239
50.0,381,152.060935
100.0,389,154.777248
110.0,423,157.783138
100.0,522,161.479776
140.0,446,164.617933
40.0,373,167.247758
20.0,263,169.088062
30.0,306,171.26112
20.0,300,173.379336
120.0,495,176.869798
100.0,445,180.044684
130.0,441,183.102466
30.0,341,185.506288
120.0,583,189.745594
70.0,439,192.874731
60.0,363,195.406003
20.0,327,197.692418
40.0,312,199.895804
50.0,434,202.875955
150.0,566,207.005928
130.0,472,210.361604
30.0,325,212.674141
170.0,507,216.35146
50.0,353,218.769931
100.0,384,221.474463
60.0,434,224.52644
30.0,259,226.392454
30.0,299,228.528065
120.0,378,231.308066
100.0,460,234.539864
60.0,353,236.993158
170.0,430,240.102284
70.0,411,242.984334
30.0,300,245.142341
80.0,385,247.879285
160.0,494,251.300226
160.0,444,254.468172
70.0,403,257.366119
210.0,483,260.863534
70.0,331,263.243316
70.0,396,266.041301
130.0,552,270.0149
40.0,353,272.52271
120.0,373,275.126656
80.0,358,277.638079
80.0,381,280.314224
60.0,348,282.826661
150.0,490,286.344568
60.0,453,289.551466
60.0,383,292.255088
130.0,433,295.391789
120.0,464,298.668242
130.0,415,301.590782
70.0,351,304.080759
0.0,246,305.826286
120.0,407,308.666733
100.0,364,311.138318
170.0,394,314.000743
190.0,532,317.757019
150.0,373,320.422782
10.0,275,322.36469
170.0,503,325.920124
50.0,302,328.054833
30.0,281,330.098212
130.0,376,332.779844
150.0,454,336.033848
120.0,429,339.06721
90.0,389,341.779222
190.0,458,345.034928
80.0,358,347.576866
160.0,460,350.810512
140.0,374,353.38853
80.0,420,356.40783
200.0,455,359.620349
180.0,500,363.199831
190.0,419,366.257881
120.0,397,369.142687
210.0,516,372.872597
180.0,470,376.303818
200.0,454,379.521928
220.0,460,382.798124
210.0,492,386.368047
190.0,501,389.992118
120.0,364,392.627505
220.0,532,396.395394
190.0,503,400.048373
40.0,340,402.496084
200.0,567,406.6477
200.0,439,409.787664
190.0,482,413.282511
190.0,400,416.158205
