#{"t_start": 1525615573.1933532, "env_id": "FrostbiteNoFrameskip-v4"}
r,l,t,i
70.0,365,4.777243,364
80.0,446,7.186849,810
60.0,369,9.184496,1179
60.0,370,11.177086,1549
60.0,367,13.151046,1916
80.0,410,15.299756,2326
120.0,439,17.646267,2765
80.0,377,19.583605,3142
60.0,299,21.189054,3441
130.0,403,23.269726,3844
50.0,330,24.987846,4174
0.0,251,26.285139,4425
110.0,413,28.38999,4838
70.0,411,30.538361,5249
100.0,348,32.39235,5597
50.0,418,34.58135,6015
180.0,641,38.092079,6656
120.0,413,40.266582,7069
130.0,469,42.683281,7538
110.0,453,45.089848,7991
120.0,394,47.130485,8385
60.0,320,48.779858,8705
70.0,446,51.122255,9151
110.0,412,53.22144,9563
170.0,562,56.254734,10125
200.0,500,58.851333,10625
50.0,357,60.693334,10982
80.0,394,62.805535,11376
140.0,468,65.297287,11844
70.0,497,67.999034,12341
110.0,530,70.813299,12871
90.0,494,73.434633,13365
90.0,349,75.284172,13714
170.0,570,78.281562,14284
40.0,375,80.280649,14659
90.0,397,82.362083,15056
30.0,307,83.971927,15363
70.0,512,86.633462,15875
160.0,503,89.3535,16378
90.0,530,92.134226,16908
110.0,456,94.556423,17364
60.0,281,96.072249,17645
110.0,372,98.023774,18017
60.0,391,100.170576,18408
100.0,394,102.208149,18802
100.0,425,104.453526,19227
110.0,477,107.004168,19704
90.0,561,110.000446,20265
40.0,368,111.960714,20633
90.0,531,114.825096,21164
140.0,403,117.001637,21567
90.0,380,118.985541,21947
120.0,558,121.882177,22505
60.0,298,123.472845,22803
80.0,377,125.451511,23180
100.0,398,127.522498,23578
110.0,426,129.761034,24004
70.0,511,132.490285,24515
110.0,478,134.981793,24993
20.0,295,136.556487,25288
100.0,444,138.906657,25732
120.0,413,141.159159,26145
150.0,479,143.684385,26624
90.0,408,145.818554,27032
60.0,418,148.057358,27450
70.0,343,149.8294,27793
150.0,417,151.997381,28210
20.0,330,153.711113,28540
180.0,529,156.491127,29069
80.0,381,158.480999,29450
80.0,344,160.298538,29794
150.0,455,162.688208,30249
20.0,270,164.144293,30519
170.0,505,166.710166,31024
130.0,495,169.347921,31519
90.0,364,171.252904,31883
70.0,409,173.356431,32292
80.0,384,175.359286,32676
100.0,405,177.463065,33081
40.0,301,179.021811,33382
80.0,379,180.972621,33761
60.0,347,182.798882,34108
150.0,492,185.378839,34600
90.0,435,187.667486,35035
50.0,391,189.698302,35426
170.0,501,192.340489,35927
120.0,422,194.603914,36349
90.0,436,196.886959,36785
40.0,368,198.79564,37153
140.0,436,201.107289,37589
130.0,370,202.985238,37959
90.0,448,205.407108,38407
10.0,286,206.865485,38693
110.0,345,208.662076,39038
100.0,380,210.600839,39418
170.0,438,212.855096,39856
40.0,327,214.534591,40183
100.0,378,216.494462,40561
140.0,394,218.52938,40955
80.0,357,220.362448,41312
50.0,290,221.839477,41602
180.0,511,224.553694,42113
60.0,370,226.490303,42483
10.0,292,228.07267,42775
180.0,506,230.68853,43281
30.0,311,232.343652,43592
30.0,330,234.09197,43922
50.0,344,235.833149,44266
30.0,316,237.47985,44582
150.0,417,239.646225,44999
120.0,390,241.73052,45389
60.0,431,244.018573,45820
50.0,298,245.608554,46118
30.0,278,247.021996,46396
130.0,389,249.108512,46785
190.0,537,251.928047,47322
120.0,367,253.85196,47689
80.0,376,255.842445,48065
30.0,303,257.423732,48368
60.0,430,259.667816,48798
180.0,532,262.444468,49330
140.0,393,264.513634,49723
60.0,340,266.345529,50063
140.0,531,269.127094,50594
90.0,442,271.443043,51036
130.0,390,273.461902,51426
70.0,304,275.028504,51730
180.0,451,277.459993,52181
190.0,539,280.313206,52720
120.0,362,282.205264,53082
120.0,432,284.448374,53514
80.0,325,286.235357,53839
200.0,462,288.667624,54301
230.0,565,291.645848,54866
140.0,505,294.303064,55371
100.0,403,296.426313,55774
180.0,451,298.772222,56225
70.0,352,300.54908,56577
50.0,360,302.465593,56937
150.0,421,304.668869,57358
210.0,471,307.209302,57829
200.0,478,309.744843,58307
180.0,419,311.910287,58726
200.0,579,314.915915,59305
160.0,476,317.493749,59781
120.0,343,319.321236,60124
140.0,392,321.363822,60516
120.0,460,323.720781,60976
160.0,441,326.055558,61417
120.0,544,328.926538,61961
150.0,444,331.31811,62405
140.0,408,333.482939,62813
190.0,442,335.793674,63255
110.0,369,337.7268,63624
150.0,424,339.950495,64048
190.0,400,342.083845,64448
90.0,352,343.913474,64800
110.0,328,345.685006,65128
180.0,491,348.306058,65619
90.0,360,350.223981,65979
190.0,427,352.403237,66406
150.0,414,354.521747,66820
180.0,382,356.502914,67202
180.0,519,359.243266,67721
200.0,486,361.783632,68207
200.0,503,364.42377,68710
210.0,504,367.045173,69214
100.0,355,368.897749,69569
180.0,550,371.756469,70119
250.0,506,374.443231,70625
220.0,498,377.057392,71123
220.0,510,379.81182,71633
190.0,456,382.201204,72089
190.0,522,384.976839,72611
140.0,437,387.268739,73048
200.0,434,389.549045,73482
210.0,493,392.166596,73975
190.0,449,394.571928,74424
190.0,466,396.994691,74890
170.0,412,399.115433,75302
180.0,464,401.588712,75766
200.0,446,403.974701,76212
170.0,387,405.989276,76599
210.0,572,409.060664,77171
230.0,519,411.876729,77690
160.0,417,414.081899,78107
80.0,369,415.984207,78476
220.0,469,418.500855,78945
210.0,498,421.084224,79443
230.0,484,423.62954,79927
200.0,444,425.920202,80371
150.0,442,428.296613,80813
240.0,498,430.902012,81311
220.0,466,433.376974,81777
140.0,397,435.42369,82174
170.0,443,437.711377,82617
210.0,583,440.807128,83200
150.0,601,443.900057,83801
200.0,440,446.155027,84241
190.0,431,448.393296,84672
120.0,350,450.248092,85022
110.0,408,452.400518,85430
160.0,377,454.405189,85807
100.0,331,456.14677,86138
180.0,450,458.497426,86588
240.0,483,461.053833,87071
190.0,459,463.470702,87530
180.0,462,465.904708,87992
200.0,447,468.447338,88439
180.0,400,470.529584,88839
170.0,424,472.774299,89263
230.0,555,475.71491,89818
240.0,492,478.331613,90310
210.0,537,481.186131,90847
210.0,555,484.169963,91402
220.0,461,486.640529,91863
200.0,445,488.976267,92308
210.0,448,491.356433,92756
240.0,501,493.946709,93257
190.0,407,496.073703,93664
170.0,438,498.377503,94102
210.0,506,500.994751,94608
170.0,456,503.493235,95064
170.0,388,505.505394,95452
200.0,503,508.136065,95955
250.0,545,511.004819,96500
220.0,506,513.626331,97006
210.0,421,515.800528,97427
200.0,457,518.170566,97884
170.0,481,520.761704,98365
210.0,433,523.048603,98798
190.0,465,525.529632,99263
160.0,451,527.902203,99714
170.0,413,530.05717,100127
220.0,535,532.884263,100662
160.0,396,534.990439,101058
150.0,434,537.320188,101492
180.0,457,539.738082,101949
220.0,455,542.137883,102404
190.0,429,544.40788,102833
230.0,510,547.086996,103343
170.0,387,549.097494,103730
240.0,556,552.056867,104286
210.0,499,554.666239,104785
180.0,428,556.838217,105213
190.0,498,559.493199,105711
240.0,538,562.317109,106249
190.0,440,564.587875,106689
180.0,401,566.676407,107090
240.0,531,569.493708,107621
180.0,439,571.796451,108060
200.0,458,574.189123,108518
210.0,480,576.724596,108998
190.0,461,579.134061,109459
220.0,466,581.572533,109925
210.0,468,584.056559,110393
210.0,489,586.609514,110882
200.0,434,588.877201,111316
220.0,442,591.244298,111758
160.0,410,593.408331,112168
190.0,437,595.636952,112605
200.0,501,598.251073,113106
150.0,367,600.197326,113473
210.0,490,602.793841,113963
260.0,517,605.54054,114480
170.0,404,607.672618,114884
180.0,401,609.70759,115285
210.0,482,612.279389,115767
180.0,443,614.614593,116210
220.0,516,617.342657,116726
210.0,462,619.816338,117188
230.0,507,622.542246,117695
190.0,465,624.956962,118160
200.0,510,627.749015,118670
200.0,447,630.063119,119117
160.0,401,632.148752,119518
220.0,467,634.632864,119985
170.0,387,636.652914,120372
200.0,411,638.822516,120783
240.0,528,641.632224,121311
220.0,495,644.244902,121806
180.0,469,646.715971,122275
230.0,500,649.39974,122775
180.0,411,651.633356,123186
190.0,440,653.9751,123626
200.0,484,656.577105,124110
