#{"t_start": 1525614502.709936, "env_id": "FrostbiteNoFrameskip-v4"}
r,l,t,i
60.0,405,10.530234,404
80.0,431,13.06697,835
50.0,493,16.009616,1328
50.0,467,18.767722,1795
80.0,379,21.052141,2174
130.0,511,24.111414,2685
110.0,509,27.149524,3194
130.0,526,30.255826,3720
120.0,463,33.048414,4183
90.0,350,35.107741,4533
60.0,389,37.38998,4922
90.0,427,39.942953,5349
80.0,377,42.123533,5726
50.0,295,43.851589,6021
90.0,344,45.891006,6365
100.0,397,48.252709,6762
30.0,312,50.048369,7074
60.0,465,52.82375,7539
10.0,352,54.888573,7891
80.0,364,57.022364,8255
50.0,415,59.489207,8670
100.0,379,61.715518,9049
50.0,354,63.814098,9403
40.0,326,65.713442,9729
10.0,282,67.363778,10011
120.0,530,70.494488,10541
70.0,354,72.550717,10895
60.0,380,74.762676,11275
70.0,457,77.465513,11732
60.0,359,79.608258,12091
60.0,438,82.266657,12529
130.0,387,84.564461,12916
100.0,383,86.884525,13299
100.0,494,89.778666,13793
40.0,336,91.731066,14129
20.0,342,93.745367,14471
70.0,424,96.324227,14895
60.0,364,98.464813,15259
90.0,438,101.122605,15697
30.0,300,102.8931,15997
130.0,429,105.36607,16426
40.0,303,107.140486,16729
50.0,394,109.491805,17123
120.0,517,112.492993,17640
140.0,413,114.929586,18053
150.0,537,118.117604,18590
60.0,447,120.818788,19037
50.0,380,123.053839,19417
130.0,473,125.78559,19890
90.0,458,128.521203,20348
70.0,433,131.074344,20781
80.0,427,133.587186,21208
50.0,335,135.57288,21543
100.0,357,137.639848,21900
80.0,383,139.919713,22283
80.0,552,143.240746,22835
40.0,367,145.452057,23202
40.0,326,147.441101,23528
60.0,432,150.016606,23960
50.0,326,152.006998,24286
80.0,440,154.57777,24726
70.0,350,156.612732,25076
170.0,522,159.671778,25598
150.0,477,162.487182,26075
30.0,327,164.426441,26402
120.0,420,166.926289,26822
70.0,318,168.723192,27140
60.0,457,171.411864,27597
40.0,312,173.26632,27909
110.0,456,176.017263,28365
100.0,394,178.314011,28759
150.0,555,181.586619,29314
40.0,306,183.420161,29620
60.0,304,185.181002,29924
70.0,409,187.605105,30333
60.0,334,189.529978,30667
30.0,361,191.645688,31028
100.0,430,194.234724,31458
60.0,373,196.413549,31831
40.0,306,198.265725,32137
60.0,335,200.228499,32472
90.0,429,202.743023,32901
90.0,426,205.254454,33327
100.0,404,207.648273,33731
70.0,376,209.937314,34107
110.0,440,212.493583,34547
100.0,399,214.91275,34946
160.0,424,217.399038,35370
50.0,342,219.416505,35712
50.0,302,221.159889,36014
50.0,296,222.850785,36310
100.0,434,225.439206,36744
90.0,418,227.936072,37162
50.0,403,230.322107,37565
50.0,339,232.327852,37904
140.0,430,234.857543,38334
50.0,301,236.591114,38635
100.0,401,238.964598,39036
60.0,306,240.780891,39342
110.0,424,243.316153,39766
10.0,301,245.062302,40067
100.0,395,247.41952,40462
150.0,530,250.539891,40992
30.0,312,252.328879,41304
120.0,400,254.745077,41704
100.0,424,257.2906,42128
140.0,440,259.924764,42568
90.0,396,262.271658,42964
100.0,385,264.49812,43349
160.0,473,267.330786,43822
120.0,504,270.331463,44326
190.0,580,273.709403,44906
70.0,327,275.606869,45233
150.0,472,278.400414,45705
70.0,351,280.486956,46056
60.0,420,283.005215,46476
40.0,305,284.763983,46781
170.0,516,287.883039,47297
30.0,371,290.055039,47668
140.0,427,292.607311,48095
70.0,315,294.423583,48410
140.0,556,297.669543,48966
120.0,394,300.043991,49360
120.0,365,302.209983,49725
100.0,359,304.397086,50084
170.0,455,307.082745,50539
170.0,587,310.595538,51126
110.0,371,312.824716,51497
90.0,431,315.412247,51928
110.0,376,317.607656,52304
100.0,388,319.898609,52692
90.0,401,322.354048,53093
100.0,486,325.230747,53579
90.0,445,327.837017,54024
