nupdates,value_loss,policy_entropy,fps,total_timesteps,explained_variance
1,0.00023486875579692423,2.8879246711730957,26,20,-237.86917114257812
100,1.2072619028913323e-06,2.885063886642456,532,2000,0.971174681559205
200,2.8267313609831035e-05,2.8857860565185547,593,4000,0.7600775808095932
300,0.0027503385208547115,2.88668155670166,609,6000,-10.347187995910645
400,0.0001364804629702121,2.885387420654297,620,8000,-0.7245833873748779
500,0.00027434166986495256,2.8845374584198,626,10000,-0.03890395164489746
600,0.0001981254608836025,2.8815205097198486,633,12000,0.50947105884552
700,0.001461847685277462,2.882856845855713,635,14000,0.6456914842128754
800,0.0006100076716393232,2.8546104431152344,638,16000,0.8008523881435394
900,0.046031732112169266,2.8626387119293213,639,18000,0.08247709274291992
1000,0.08979655802249908,2.8633980751037598,642,20000,-0.04388225078582764
1100,0.3506142199039459,2.8522677421569824,643,22000,0.07203322649002075
1200,0.0434296615421772,2.847675323486328,644,24000,0.08703815937042236
1300,3.530070171109401e-05,2.866215944290161,645,26000,0.9836735967546701
1400,7.413916318910196e-05,2.884681224822998,646,28000,0.8985574021935463
1500,0.11773588508367538,2.8737316131591797,647,30000,0.05071461200714111
1600,5.09557212353684e-05,2.8695764541625977,647,32000,0.9236156493425369
1700,0.00028774840757250786,2.8750710487365723,648,34000,0.9705522377043962
1800,0.007359955459833145,2.8570430278778076,648,36000,0.055588722229003906
1900,0.0050882440991699696,2.773944854736328,649,38000,0.9050615131855011
2000,0.0006735158385708928,2.8797919750213623,649,40000,0.9589754603803158
2100,0.003555468749254942,2.8264951705932617,650,42000,0.9589623138308525
2200,0.004174469970166683,2.8186700344085693,651,44000,0.9647164531052113
2300,0.0019917895551770926,2.8229904174804688,651,46000,0.9901806293055415
2400,0.0007720538997091353,2.8623151779174805,651,48000,0.48379749059677124
2500,0.0005676564760506153,2.8221096992492676,651,50000,0.9957131161354482
2600,0.0007337179267778993,2.8401598930358887,651,52000,0.9875928144901991
2700,0.0013993305619806051,2.874520778656006,651,54000,0.9402407854795456
