#{"t_start": 1525533006.1730294, "env_id": "MsPacmanNoFrameskip-v4"}
r,l,t,i
70.0,353,4.165573,352
110.0,408,6.301284,760
270.0,521,9.027219,1281
300.0,452,11.402554,1733
260.0,378,13.334143,2111
220.0,445,15.682193,2556
210.0,446,17.988474,3002
290.0,511,20.649486,3513
150.0,374,22.600286,3887
250.0,541,25.412454,4428
110.0,267,26.825508,4695
230.0,447,29.115325,5142
620.0,693,32.717683,5835
210.0,317,34.341074,6152
150.0,305,35.894218,6457
660.0,551,38.778715,7008
380.0,686,42.21996,7694
230.0,373,44.13443,8067
180.0,514,46.83129,8581
240.0,421,49.056973,9002
860.0,807,53.178627,9809
180.0,316,54.824338,10125
410.0,567,57.83908,10692
490.0,530,60.549938,11222
230.0,417,62.679395,11639
550.0,605,65.792908,12244
320.0,660,69.210685,12904
220.0,416,71.324627,13320
480.0,786,75.404926,14106
640.0,728,79.184166,14834
890.0,606,82.336709,15440
510.0,665,85.811259,16105
350.0,692,89.386745,16797
500.0,689,92.895337,17486
630.0,634,96.190705,18120
520.0,615,99.333793,18735
280.0,507,101.986591,19242
230.0,492,104.577878,19734
230.0,393,106.638566,20127
550.0,666,110.082736,20793
530.0,693,113.745837,21486
440.0,629,116.979391,22115
320.0,580,120.051931,22695
510.0,698,123.708431,23393
240.0,452,126.010709,23845
140.0,405,128.155396,24250
250.0,454,130.517693,24704
1350.0,738,134.263283,25442
850.0,648,137.651798,26090
500.0,613,140.755528,26703
500.0,676,144.30592,27379
340.0,786,148.38177,28165
430.0,661,151.802209,28826
550.0,597,154.876661,29423
250.0,465,157.261444,29888
400.0,478,159.760903,30366
690.0,662,163.162264,31028
240.0,426,165.312778,31454
550.0,731,169.098153,32185
570.0,611,172.236588,32796
950.0,632,175.446799,33428
580.0,637,178.700288,34065
130.0,491,181.198964,34556
1120.0,770,185.099697,35326
200.0,425,187.252967,35751
270.0,454,189.619753,36205
650.0,768,193.439078,36973
340.0,626,196.626204,37599
910.0,517,199.280646,38116
320.0,414,201.355893,38530
530.0,580,204.335786,39110
870.0,806,208.426306,39916
950.0,695,211.993112,40611
290.0,346,213.735372,40957
480.0,452,216.057211,41409
330.0,376,217.966281,41785
240.0,567,220.885906,42352
400.0,639,224.185922,42991
650.0,634,227.426737,43625
960.0,524,230.072798,44149
220.0,397,232.124887,44546
870.0,703,235.700906,45249
740.0,701,239.268213,45950
590.0,811,243.416696,46761
430.0,548,246.242014,47309
290.0,688,249.839198,47997
330.0,494,252.362265,48491
650.0,837,256.694301,49328
790.0,930,261.445564,50258
1010.0,965,266.449624,51223
350.0,617,269.66057,51840
380.0,556,272.508523,52396
300.0,386,274.44971,52782
260.0,428,276.698084,53210
170.0,438,278.984338,53648
310.0,618,282.184411,54266
980.0,898,286.906046,55164
260.0,473,289.32322,55637
530.0,566,292.195337,56203
370.0,725,295.990298,56928
240.0,456,298.341044,57384
340.0,502,300.868245,57886
440.0,880,305.393672,58766
200.0,479,307.911155,59245
320.0,393,309.973797,59638
620.0,562,312.884128,60200
290.0,504,315.475388,60704
1440.0,903,320.224722,61607
1210.0,1099,325.862966,62706
550.0,720,329.506521,63426
160.0,293,331.081206,63719
390.0,616,334.185368,64335
320.0,500,336.776969,64835
290.0,429,339.004969,65264
350.0,419,341.134711,65683
290.0,646,344.400895,66329
290.0,498,347.022447,66827
510.0,552,349.771047,67379
370.0,466,352.172348,67845
170.0,383,354.142718,68228
230.0,399,356.212496,68627
290.0,601,359.269378,69228
310.0,508,361.92241,69736
260.0,488,364.402348,70224
300.0,394,366.426401,70618
390.0,596,369.430958,71214
340.0,465,371.818337,71679
560.0,443,374.097984,72122
310.0,421,376.2127,72543
1120.0,638,379.527097,73181
720.0,652,382.906903,73833
350.0,520,385.492814,74353
320.0,522,388.178944,74875
970.0,880,392.698211,75755
660.0,816,396.797291,76571
670.0,633,400.021355,77204
270.0,379,402.021386,77583
740.0,606,405.083689,78189
1870.0,1132,411.014131,79321
460.0,462,413.361575,79783
900.0,828,417.679318,80611
1020.0,770,421.664021,81381
320.0,455,424.021492,81836
250.0,488,426.515751,82324
460.0,512,429.232601,82836
370.0,490,431.811408,83326
1670.0,1016,437.044796,84342
780.0,693,440.588242,85035
250.0,371,442.48816,85406
400.0,528,445.226223,85934
350.0,471,447.687802,86405
830.0,695,451.261357,87100
1110.0,763,455.150788,87863
950.0,796,459.278562,88659
1210.0,770,463.204062,89429
370.0,385,465.175582,89814
1020.0,878,469.711082,90692
740.0,928,474.470307,91620
300.0,360,476.309796,91980
430.0,577,479.33111,92557
580.0,528,482.014339,93085
2040.0,850,486.308139,93935
370.0,517,488.915219,94452
690.0,670,492.321176,95122
1230.0,734,496.135288,95856
420.0,562,498.999362,96418
390.0,479,501.430997,96897
590.0,703,505.12304,97600
410.0,438,507.35622,98038
2080.0,664,510.774746,98702
420.0,457,513.12227,99159
2660.0,696,516.739652,99855
310.0,474,519.189237,100329
320.0,408,521.250717,100737
270.0,420,523.395538,101157
370.0,567,526.328151,101724
280.0,453,528.70581,102177
960.0,707,532.309658,102884
270.0,411,534.502218,103295
570.0,585,537.483302,103880
260.0,489,540.024706,104369
270.0,357,541.88117,104726
1050.0,802,545.983081,105528
810.0,647,549.324434,106175
650.0,474,551.753658,106649
810.0,754,555.640583,107403
390.0,375,557.603182,107778
790.0,740,561.438172,108518
960.0,798,565.539278,109316
720.0,584,568.68128,109900
1190.0,982,573.748784,110882
450.0,481,576.155123,111363
1190.0,736,579.947523,112099
490.0,712,583.652958,112811
430.0,507,586.252423,113318
240.0,406,588.362967,113724
860.0,512,591.037995,114236
680.0,646,594.32357,114882
410.0,449,596.649449,115331
320.0,428,598.885661,115759
370.0,490,601.325739,116249
840.0,707,604.97894,116956
340.0,401,607.019172,117357
310.0,519,609.677581,117876
430.0,479,612.142059,118355
1090.0,556,615.031383,118911
440.0,525,617.677893,119436
1020.0,796,621.725765,120232
710.0,718,625.443347,120950
740.0,1064,630.910333,122014
310.0,423,633.039494,122437
330.0,452,635.298232,122889
270.0,447,637.574582,123336
380.0,533,640.278176,123869
550.0,544,643.031268,124413
280.0,509,645.611832,124922
870.0,746,649.387938,125668
740.0,746,653.120088,126414
3830.0,968,658.006357,127382
850.0,937,662.746249,128319
620.0,751,666.525826,129070
330.0,505,669.080654,129575
1290.0,656,672.443753,130231
280.0,406,674.495714,130637
960.0,654,677.785511,131291
870.0,843,682.036087,132134
520.0,632,685.225808,132766
700.0,619,688.358186,133385
550.0,572,691.218467,133957
420.0,479,693.638075,134436
1610.0,801,697.674403,135237
1130.0,771,701.596398,136008
1610.0,905,706.202505,136913
1660.0,809,710.27967,137722
2050.0,762,714.185309,138484
830.0,600,717.244249,139084
200.0,324,718.897507,139408
1150.0,745,722.687069,140153
370.0,402,724.784602,140555
1080.0,808,728.86159,141363
800.0,559,731.711419,141922
890.0,612,734.849172,142534
340.0,479,737.26861,143013
870.0,638,740.615461,143651
320.0,441,742.851981,144092
370.0,497,745.394736,144589
830.0,715,749.006743,145304
330.0,401,751.086904,145705
1790.0,722,754.75498,146427
1250.0,758,758.57665,147185
1220.0,663,761.913568,147848
260.0,475,764.332344,148323
690.0,795,768.464924,149118
350.0,531,771.169259,149649
750.0,584,774.15404,150233
2460.0,754,777.942179,150987
680.0,644,781.16216,151631
880.0,773,785.124999,152404
860.0,881,789.657811,153285
330.0,479,792.145031,153764
610.0,673,795.534095,154437
520.0,588,798.515419,155025
920.0,731,802.192172,155756
660.0,736,805.992509,156492
1240.0,701,809.524161,157193
650.0,690,813.055445,157883
670.0,663,816.428952,158546
510.0,457,818.73869,159003
340.0,465,821.082703,159468
1220.0,624,824.251856,160092
880.0,722,827.913834,160814
380.0,417,830.028241,161231
470.0,495,832.49719,161726
390.0,461,834.865588,162187
280.0,392,836.839676,162579
1420.0,1149,842.807189,163728
950.0,806,847.026312,164534
400.0,548,849.783918,165082
330.0,420,851.916236,165502
280.0,478,854.324828,165980
980.0,777,858.285482,166757
470.0,609,861.472047,167366
1230.0,716,865.167982,168082
350.0,463,867.560336,168545
420.0,472,870.003696,169017
1080.0,845,874.284934,169862
680.0,703,878.016974,170565
600.0,724,881.728514,171289
1300.0,789,885.803021,172078
610.0,539,888.582395,172617
830.0,888,893.135956,173505
240.0,296,894.635204,173801
420.0,479,897.200581,174280
890.0,659,900.637826,174939
1130.0,866,905.176095,175805
1160.0,749,909.065025,176554
830.0,604,912.168432,177158
1630.0,978,917.176404,178136
870.0,634,920.543476,178770
1000.0,920,925.275739,179690
1180.0,792,929.343584,180482
960.0,773,933.258919,181255
1270.0,644,936.556731,181899
1060.0,872,940.979591,182771
640.0,666,944.414435,183437
830.0,772,948.407211,184209
1310.0,584,951.448293,184793
1070.0,598,954.521537,185391
490.0,732,958.268897,186123
1070.0,790,962.244063,186913
830.0,677,965.716478,187590
640.0,531,968.394054,188121
510.0,684,971.892944,188805
390.0,520,974.621161,189325
1250.0,830,978.921075,190155
1140.0,823,983.167503,190978
370.0,400,985.245905,191378
1020.0,805,989.404949,192183
300.0,496,991.900919,192679
1360.0,854,996.407775,193533
850.0,568,999.383376,194101
920.0,778,1003.385605,194879
680.0,564,1006.36851,195443
