#{"t_start": 1525531354.6716642, "env_id": "MsPacmanNoFrameskip-v4"}
r,l,t,i
280.0,484,8.584212,483
770.0,703,12.714471,1186
200.0,473,15.570176,1659
330.0,540,18.773226,2199
160.0,481,21.580051,2680
240.0,463,24.319066,3143
190.0,415,26.747736,3558
210.0,412,29.177936,3970
520.0,575,32.555227,4545
350.0,641,36.341676,5186
280.0,371,38.543899,5557
430.0,721,42.847047,6278
190.0,279,44.499958,6557
330.0,372,46.727283,6929
240.0,308,48.582185,7237
210.0,360,50.76585,7597
170.0,310,52.631085,7907
1020.0,616,56.296452,8523
460.0,654,60.203579,9177
600.0,680,64.255138,9857
470.0,546,67.565561,10403
410.0,500,70.564194,10903
890.0,894,75.972304,11797
750.0,648,79.836741,12445
400.0,696,84.017422,13141
360.0,728,88.289441,13869
260.0,549,91.489469,14418
420.0,491,94.401485,14909
530.0,569,97.792041,15478
270.0,324,99.71604,15802
600.0,861,104.776128,16663
320.0,775,109.49289,17438
480.0,694,113.555965,18132
290.0,512,116.586886,18644
520.0,627,120.377134,19271
320.0,726,124.721747,19997
310.0,632,128.482041,20629
590.0,578,131.896702,21207
1160.0,726,136.236775,21933
780.0,630,139.988438,22563
440.0,655,143.887518,23218
300.0,437,146.428829,23655
590.0,717,150.620728,24372
410.0,913,156.009586,25285
240.0,531,159.103057,25816
200.0,464,161.778908,26280
660.0,707,166.028546,26987
430.0,778,170.630058,27765
470.0,718,174.881072,28483
480.0,668,178.799358,29151
300.0,491,181.733516,29642
220.0,447,184.387332,30089
340.0,452,187.099123,30541
540.0,949,192.660276,31490
1830.0,722,196.997385,32212
500.0,558,200.339807,32770
570.0,684,204.308172,33454
570.0,681,208.305705,34135
310.0,694,212.354127,34829
450.0,466,215.161253,35295
710.0,667,219.136958,35962
410.0,655,222.956047,36617
1200.0,688,227.060395,37305
300.0,501,229.962293,37806
380.0,661,233.867672,38467
570.0,626,237.543873,39093
760.0,880,242.75564,39973
360.0,773,247.467133,40746
310.0,629,251.147731,41375
520.0,698,255.329065,42073
540.0,562,258.683558,42635
570.0,745,263.092658,43380
360.0,684,267.198844,44064
300.0,462,269.898481,44526
770.0,638,273.677103,45164
730.0,788,278.321252,45952
230.0,634,282.015114,46586
390.0,626,285.629532,47212
650.0,782,290.231545,47994
600.0,652,294.0119,48646
280.0,424,296.435115,49070
970.0,699,300.634184,49769
850.0,928,306.21407,50697
770.0,947,311.817859,51644
810.0,645,315.538843,52289
360.0,384,317.853419,52673
590.0,521,320.919037,53194
270.0,507,323.916898,53701
510.0,452,326.648585,54153
620.0,565,330.016039,54718
250.0,392,332.346806,55110
820.0,738,336.614548,55848
220.0,653,340.564439,56501
300.0,359,342.694438,56860
680.0,667,346.582298,57527
940.0,660,350.563896,58187
810.0,724,354.857512,58911
340.0,364,357.009555,59275
290.0,392,359.345219,59667
1290.0,643,363.125956,60310
410.0,495,366.101203,60805
240.0,332,368.121895,61137
880.0,981,373.980784,62118
1840.0,569,377.338959,62687
750.0,575,380.68902,63262
780.0,633,384.578316,63895
440.0,499,387.534462,64394
880.0,738,391.877885,65132
1460.0,598,395.442441,65730
710.0,684,399.450653,66414
1140.0,785,404.139943,67199
1730.0,916,409.477668,68115
860.0,640,413.248229,68755
390.0,420,415.716589,69175
690.0,760,420.255337,69935
830.0,645,424.046914,70580
950.0,875,429.314116,71455
1180.0,744,433.704208,72199
580.0,701,437.776428,72900
840.0,710,442.032426,73610
1160.0,601,445.57861,74211
580.0,673,449.782688,74884
480.0,463,452.544099,75347
740.0,716,456.814203,76063
580.0,673,460.733974,76736
450.0,632,464.417806,77368
1320.0,713,468.597802,78081
1710.0,1114,475.296284,79195
360.0,421,477.793455,79616
1190.0,834,482.678755,80450
410.0,560,485.942613,81010
740.0,865,491.037457,81875
690.0,640,494.84579,82515
1610.0,967,500.650095,83482
1050.0,798,505.383183,84280
160.0,265,506.946791,84545
580.0,510,509.978659,85055
350.0,333,511.900416,85388
320.0,422,514.423544,85810
510.0,550,517.632238,86360
530.0,526,520.777157,86886
1500.0,798,525.584766,87684
850.0,1092,532.118253,88776
1950.0,875,537.239168,89651
860.0,617,540.841774,90268
810.0,889,546.081744,91157
490.0,490,548.939462,91647
1000.0,793,553.62228,92440
800.0,669,557.549157,93109
370.0,525,560.642091,93634
2000.0,642,564.367639,94276
400.0,542,567.512617,94818
390.0,508,570.526529,95326
950.0,963,576.168385,96289
390.0,506,579.174982,96795
310.0,450,581.835369,97245
940.0,688,585.907655,97933
410.0,414,588.375394,98347
940.0,666,592.284305,99013
230.0,455,594.874625,99468
620.0,574,598.300835,100042
1250.0,748,602.695441,100790
320.0,427,605.150151,101217
650.0,812,609.913208,102029
450.0,571,613.325631,102600
320.0,775,617.92431,103375
290.0,672,621.914297,104047
1130.0,621,625.629591,104668
1690.0,780,630.276631,105448
