#{"t_start": 1525486390.1388237, "env_id": "PongNoFrameskip-v4"}
r,l,t,i
-20.0,1007,5.45831,1006
-19.0,1171,9.676476,2177
-21.0,839,12.900329,3016
-20.0,1028,18.128927,4044
-21.0,820,22.259173,4864
-19.0,1024,27.676363,5888
-21.0,942,32.51786,6830
-20.0,837,36.885999,7667
-20.0,863,41.343147,8530
-21.0,782,45.398562,9312
-21.0,777,49.443647,10089
-21.0,842,53.789741,10931
-21.0,822,58.105314,11753
-21.0,849,62.451811,12602
-19.0,1006,67.68403,13608
-21.0,1007,72.857284,14615
-21.0,757,76.843272,15372
-21.0,868,81.363059,16240
-21.0,823,85.672999,17063
-21.0,762,89.647248,17825
-21.0,966,94.670477,18791
-20.0,886,99.267956,19677
-19.0,1030,104.592685,20707
-20.0,955,109.578821,21662
-21.0,878,114.166293,22540
-20.0,837,118.605328,23377
-21.0,820,122.839288,24197
-21.0,941,127.764423,25138
-21.0,884,132.293447,26022
-20.0,840,136.658088,26862
-19.0,951,141.533516,27813
-21.0,897,146.178779,28710
-21.0,901,150.733497,29611
-21.0,840,154.94617,30451
-21.0,776,159.005518,31227
-19.0,1027,164.267144,32254
-21.0,937,169.094637,33191
-21.0,790,173.253113,33981
-20.0,841,177.646025,34822
-19.0,1098,183.315804,35920
-21.0,907,187.944144,36827
-21.0,819,192.168673,37646
-19.0,979,197.140112,38625
-21.0,878,201.656338,39503
-19.0,971,206.691128,40474
-19.0,989,211.844167,41463
-19.0,1220,218.095218,42683
-20.0,837,222.400259,43520
-21.0,808,226.531316,44328
-21.0,790,230.637516,45118
-18.0,1211,236.915114,46329
-21.0,787,241.039041,47116
-21.0,936,245.862128,48052
-20.0,946,250.715191,48998
-20.0,897,255.467153,49895
-19.0,1044,260.856233,50939
-21.0,790,264.918169,51729
-21.0,786,269.015809,52515
-21.0,849,273.412087,53364
-21.0,853,277.846835,54217
-21.0,973,282.879915,55190
-20.0,1185,288.989789,56375
-20.0,1049,294.374781,57424
-20.0,1015,299.538062,58439
-21.0,811,303.665031,59250
-19.0,1094,309.240136,60344
-20.0,855,313.537568,61199
-20.0,999,318.678585,62198
-19.0,1108,324.364248,63306
-21.0,885,328.915459,64191
-21.0,1114,334.580487,65305
-19.0,1023,339.807693,66328
-20.0,895,344.4258,67223
-21.0,811,348.574236,68034
-21.0,979,353.542612,69013
-21.0,896,358.147817,69909
-20.0,884,362.716787,70793
-20.0,939,367.509983,71732
-21.0,930,372.363438,72662
-21.0,938,377.24584,73600
-18.0,1278,383.745601,74878
-21.0,779,387.792048,75657
-20.0,898,392.430996,76555
-21.0,790,396.524679,77345
-20.0,950,401.463975,78295
-20.0,988,406.604307,79283
-21.0,841,410.950105,80124
-21.0,916,415.723593,81040
-21.0,958,420.660934,81998
-21.0,879,425.240364,82877
-21.0,786,429.309018,83663
-21.0,904,433.868821,84567
-21.0,883,438.473659,85450
-20.0,831,442.726852,86281
