total_timesteps,explained_variance,policy_entropy,value_loss,nupdates,fps
4,0.7230754196643829,1.7912204265594482,1.0156642019865103e-05,1,6
400,0.889305830001831,1.7820895910263062,1.538434446501924e-07,100,324
800,-0.8899825811386108,1.7824785709381104,7.734133191661385e-07,200,426
1200,-0.0015037059783935547,1.7829747200012207,0.1246490329504013,300,477
1600,0.6156560480594635,1.7837684154510498,4.131974492338486e-06,400,506
2000,-2.5611236095428467,1.7826470136642456,8.004091796465218e-06,500,524
2400,0.1167038083076477,1.7874939441680908,6.313413905445486e-06,600,540
2800,0.6026345193386078,1.7773017883300781,4.462322249310091e-05,700,551
3200,0.7177095413208008,1.7800934314727783,4.2218973248964176e-05,800,558
3600,0.8101789951324463,1.775307536125183,7.77538662077859e-05,900,565
4000,0.4020530581474304,1.7642464637756348,5.160267392056994e-06,1000,568
4400,0.8132516294717789,1.2124205827713013,0.00014989596093073487,1100,573
4800,0.8081585764884949,1.5701165199279785,0.00012497921125032008,1200,577
5200,0.4730318784713745,1.667025089263916,0.0008480758406221867,1300,581
5600,0.6194084882736206,1.4723292589187622,0.0001390454708598554,1400,584
6000,-0.0008344650268554688,1.5243611335754395,0.1238890290260315,1500,588
6400,-0.7045719623565674,1.6234204769134521,5.4599964641965926e-05,1600,585
6800,0.0032536983489990234,1.6930785179138184,0.12355216592550278,1700,583
7200,0.6522038578987122,1.7150375843048096,8.363989763893187e-06,1800,581
7600,0.6384485363960266,1.6280843019485474,1.0109738468599971e-06,1900,582
8000,0.9372793361544609,1.6219981908798218,8.197903156315078e-08,2000,576
8400,0.649847537279129,1.6282391548156738,3.32645904563833e-05,2100,567
8800,0.692500114440918,1.6618512868881226,1.850415901571978e-05,2200,557
9200,-0.5766059160232544,1.6859114170074463,2.8536334866657853e-05,2300,551
9600,0.5377591848373413,1.758526086807251,2.6838590201805346e-05,2400,544
10000,0.9633339270949364,1.7415411472320557,2.601888627395965e-05,2500,537
10400,-2.219428062438965,1.5750641822814941,2.9788458050461486e-05,2600,529
10800,0.8521163761615753,1.7678099870681763,2.9210317734396085e-05,2700,527
