#{"t_start": 1525575737.4144979, "env_id": "PongNoFrameskip-v4"}
r,l,t,i
-21.0,898,13.629036,897
-21.0,867,17.922261,1764
-20.0,974,22.771289,2738
-20.0,927,27.350878,3665
-20.0,961,32.090335,4626
-21.0,788,36.019869,5414
-21.0,960,40.679348,6374
-19.0,1013,45.617179,7387
-19.0,915,50.200543,8302
-21.0,820,54.259587,9122
-21.0,818,58.269765,9940
-19.0,1021,63.380006,10961
-20.0,870,67.723261,11831
-21.0,823,71.801245,12654
-20.0,955,76.532688,13609
-20.0,893,80.97274,14502
-20.0,940,85.734766,15442
-21.0,879,90.182403,16321
-21.0,994,95.161054,17315
-21.0,902,99.679307,18217
-21.0,826,103.800861,19043
-21.0,900,108.293221,19943
-21.0,787,112.177834,20730
-21.0,787,116.122645,21517
-20.0,833,120.351246,22350
-21.0,760,124.169192,23110
-21.0,848,128.358588,23958
-20.0,923,132.909783,24881
-21.0,1147,138.538759,26028
-21.0,757,142.284896,26785
-21.0,880,146.609883,27665
-19.0,931,151.256102,28596
-21.0,823,155.21721,29419
-21.0,820,159.367839,30239
-19.0,1190,165.117243,31429
-21.0,790,169.030164,32219
-21.0,1057,174.187088,33276
-21.0,759,177.878186,34035
-19.0,1014,182.986582,35049
-20.0,868,187.192743,35917
-19.0,1041,192.297378,36958
-21.0,760,196.045964,37718
-20.0,915,200.561458,38633
-19.0,1034,205.704871,39667
-21.0,759,209.557953,40426
-21.0,761,213.284766,41187
-20.0,1149,218.991529,42336
-21.0,847,223.227195,43183
-19.0,1029,228.385669,44212
-20.0,947,233.020434,45159
-21.0,842,237.189248,46001
-20.0,953,241.933184,46954
-19.0,1057,247.293539,48011
-21.0,867,251.527575,48878
-19.0,974,256.432955,49852
-21.0,882,260.744051,50734
-21.0,937,265.42631,51671
-20.0,836,269.534294,52507
-21.0,801,273.411076,53308
-21.0,819,277.562703,54127
-20.0,991,282.467564,55118
-21.0,986,287.319723,56104
-21.0,788,291.228004,56892
-21.0,760,294.961212,57652
-21.0,823,298.939054,58475
-17.0,1327,305.495875,59802
-20.0,891,309.838225,60693
-20.0,839,313.932394,61532
-21.0,822,317.949488,62354
-20.0,838,322.014564,63192
-21.0,819,326.027855,64011
-20.0,1018,331.003065,65029
-20.0,990,335.889689,66019
-21.0,787,339.762478,66806
-21.0,817,343.799312,67623
-20.0,836,347.933865,68459
-21.0,899,352.455971,69358
-21.0,819,356.501353,70177
-20.0,864,360.76277,71041
-20.0,838,364.95665,71879
-21.0,912,369.481816,72791
-21.0,910,374.008375,73701
-21.0,825,378.028048,74526
-21.0,965,382.796486,75491
-20.0,965,387.514952,76456
-20.0,1107,392.987896,77563
-21.0,986,397.943458,78549
-20.0,919,402.404025,79468
-21.0,925,406.924755,80393
-19.0,1078,412.15952,81471
-21.0,919,416.681682,82390
-20.0,859,420.86013,83249
-21.0,821,424.848379,84070
-19.0,1238,431.080598,85308
-21.0,932,435.592641,86240
-19.0,1025,440.659949,87265
-18.0,1186,446.421154,88451
-21.0,1007,451.385394,89458
-19.0,1040,456.531643,90498
-20.0,895,460.92864,91393
-21.0,1115,466.61632,92508
-20.0,835,470.735468,93343
-20.0,870,475.066617,94213
-19.0,1113,480.608232,95326
-20.0,863,484.840556,96189
-21.0,973,489.659549,97162
-20.0,882,494.152544,98044
-20.0,906,498.707111,98950
-20.0,865,502.947551,99815
-20.0,971,507.828578,100786
-19.0,1094,513.267232,101880
-17.0,1122,518.934676,103002
-21.0,817,523.072391,103819
-21.0,790,527.059504,104609
-20.0,874,531.386551,105483
-21.0,824,535.444446,106307
-20.0,887,539.85567,107194
-20.0,838,543.973114,108032
-21.0,780,547.863039,108812
-20.0,870,552.151763,109682
-20.0,1043,557.215933,110725
-20.0,975,562.107268,111700
-20.0,950,566.682847,112650
-21.0,851,570.808215,113501
-18.0,1059,576.126945,114560
-21.0,876,580.513494,115436
-19.0,996,585.509857,116432
-21.0,799,589.494377,117231
-21.0,869,593.78878,118100
-20.0,836,597.86514,118936
-20.0,893,602.328993,119829
-20.0,835,606.563352,120664
-21.0,817,610.799862,121481
-21.0,779,614.677488,122260
-21.0,946,619.30876,123206
-21.0,789,623.200603,123995
-21.0,776,626.996696,124771
-21.0,780,630.923667,125551
-20.0,831,635.131359,126382
-20.0,841,639.329915,127223
-20.0,888,643.762964,128111
-18.0,1087,649.113964,129198
-21.0,1000,654.100482,130198
-21.0,839,658.278833,131037
-21.0,1062,663.567653,132099
-20.0,980,668.2913,133079
-21.0,759,672.001052,133838
-20.0,987,676.916165,134825
-21.0,814,680.916801,135639
-18.0,1093,686.229958,136732
-19.0,1077,691.540288,137809
-20.0,917,696.10393,138726
-19.0,1049,701.339706,139775
-21.0,1083,706.75809,140858
-20.0,969,711.634992,141827
-21.0,935,716.235357,142762
-20.0,959,721.049835,143721
-19.0,949,725.809563,144670
-21.0,785,729.679445,145455
-19.0,990,734.577672,146445
-20.0,842,738.737067,147287
-20.0,917,743.333129,148204
-21.0,761,747.126168,148965
-21.0,856,751.421564,149821
-20.0,976,756.234781,150797
-21.0,908,760.685179,151705
-21.0,786,764.589471,152491
-21.0,876,769.04641,153367
-21.0,759,772.777151,154126
-21.0,942,777.497403,155068
-20.0,914,781.977448,155982
-19.0,997,786.938655,156979
-21.0,950,791.619481,157929
-20.0,1075,796.9376,159004
-20.0,953,801.685888,159957
-21.0,820,805.658194,160777
-21.0,882,810.101222,161659
-21.0,915,814.618711,162574
-21.0,780,818.398423,163354
-21.0,885,822.760651,164239
-21.0,881,827.097113,165120
-21.0,1000,832.022353,166120
-20.0,883,836.380846,167003
-21.0,788,840.193401,167791
-20.0,998,845.149015,168789
-21.0,762,848.895336,169551
-21.0,760,852.714411,170311
-21.0,905,857.085148,171216
-20.0,1009,861.980062,172225
-21.0,1061,867.287826,173286
-20.0,835,871.373415,174121
-21.0,1000,876.302705,175121
-21.0,889,880.648647,176010
-20.0,1324,887.176137,177334
-18.0,1113,892.615876,178447
-20.0,1020,897.734502,179467
-21.0,875,902.092492,180342
-21.0,790,906.044674,181132
-20.0,1000,911.056931,182132
-20.0,925,915.63876,183057
-20.0,1004,920.64505,184061
-21.0,835,924.741923,184896
-21.0,896,929.076082,185792
-20.0,898,933.599517,186690
-21.0,823,937.744589,187513
-21.0,877,942.143912,188390
-20.0,901,946.653101,189291
-21.0,882,950.969091,190173
-21.0,817,955.048803,190990
-21.0,777,958.903483,191767
-20.0,838,963.114855,192605
-20.0,841,967.334845,193446
-19.0,1049,972.403544,194495
-20.0,896,976.78143,195391
-20.0,1031,981.749284,196422
-21.0,938,986.471403,197360
-20.0,1028,991.536311,198388
-20.0,898,995.98881,199286
-20.0,957,1000.70768,200243
-20.0,957,1005.271958,201200
-21.0,842,1009.49498,202042
-21.0,944,1014.111799,202986
-20.0,835,1018.178061,203821
-21.0,969,1022.867467,204790
-21.0,791,1026.720783,205581
-20.0,842,1030.835581,206423
-20.0,974,1035.60509,207397
-20.0,841,1039.747296,208238
-20.0,888,1044.142186,209126
-21.0,818,1048.103811,209944
-21.0,948,1052.789054,210892
-21.0,818,1056.846276,211710
-20.0,855,1061.022329,212565
-20.0,839,1065.195157,213404
-20.0,842,1069.29059,214246
-21.0,963,1074.074581,215209
-20.0,1013,1079.090537,216222
-20.0,1017,1084.074308,217239
-21.0,776,1087.972462,218015
-21.0,859,1092.231707,218874
-20.0,894,1096.599649,219768
-20.0,948,1101.214627,220716
-20.0,892,1105.600482,221608
-21.0,790,1109.486218,222398
-21.0,911,1113.990433,223309
-21.0,906,1118.385483,224215
-21.0,849,1122.529774,225064
-20.0,919,1127.013215,225983
-21.0,919,1131.534529,226902
-20.0,1036,1136.603518,227938
-21.0,881,1140.916215,228819
-20.0,990,1145.746815,229809
-19.0,976,1150.430729,230785
-21.0,926,1155.006386,231711
-21.0,839,1159.067808,232550
-19.0,1136,1164.648141,233686
-20.0,1009,1169.60426,234695
-20.0,921,1174.14523,235616
-21.0,867,1178.355111,236483
-21.0,836,1182.396868,237319
-21.0,846,1186.659561,238165
-21.0,792,1190.53377,238957
-21.0,907,1195.07174,239864
-21.0,788,1198.938858,240652
-20.0,1045,1203.990853,241697
-20.0,893,1208.409966,242590
-20.0,960,1213.14164,243550
-19.0,1066,1218.286096,244616
-21.0,846,1222.472,245462
-20.0,886,1226.891332,246348
-19.0,1062,1232.201712,247410
-20.0,1018,1237.146348,248428
-21.0,851,1241.337867,249279
-16.0,1354,1248.002942,250633
-20.0,933,1252.721936,251566
-21.0,788,1256.5732,252354
-21.0,881,1260.992768,253235
-19.0,1180,1266.931766,254415
-21.0,824,1270.977159,255239
-20.0,1021,1276.132124,256260
-21.0,921,1280.619256,257181
-20.0,1004,1285.607472,258185
-21.0,926,1290.135095,259111
-19.0,1061,1295.343973,260172
-20.0,942,1299.987823,261114
-21.0,759,1303.640036,261873
-21.0,885,1308.049952,262758
-21.0,1150,1313.673653,263908
-21.0,1128,1319.212171,265036
-19.0,1035,1324.413318,266071
-19.0,933,1329.123928,267004
-20.0,974,1333.866155,267978
-21.0,791,1337.779747,268769
-21.0,996,1342.76979,269765
-20.0,903,1347.208641,270668
-20.0,1099,1352.584728,271767
-19.0,1127,1358.153647,272894
-21.0,819,1362.247111,273713
-20.0,960,1367.000088,274673
-21.0,813,1371.000562,275486
-21.0,941,1375.661001,276427
-21.0,910,1380.291609,277337
-20.0,870,1384.590231,278207
-20.0,1090,1389.954339,279297
-20.0,1019,1395.144612,280316
-21.0,794,1399.151996,281110
-21.0,907,1403.647287,282017
-21.0,937,1408.305691,282954
-20.0,1032,1413.36992,283986
-19.0,996,1418.417072,284982
-21.0,884,1422.932086,285866
-21.0,900,1427.426208,286766
-21.0,852,1431.641311,287618
-21.0,852,1435.904543,288470
-21.0,803,1439.964668,289273
-21.0,762,1443.772006,290035
-20.0,928,1448.333261,290963
-21.0,878,1452.627955,291841
-18.0,1107,1458.146979,292948
-20.0,877,1462.451065,293825
-18.0,1103,1467.922791,294928
-20.0,900,1472.395335,295828
-21.0,777,1476.232873,296605
-21.0,938,1480.870062,297543
-21.0,820,1484.886276,298363
-21.0,914,1489.338818,299277
-20.0,913,1493.769395,300190
-21.0,821,1497.808683,301011
-21.0,911,1502.290509,301922
-20.0,981,1507.161221,302903
-19.0,988,1512.105909,303891
-21.0,819,1516.17395,304710
-20.0,885,1520.547741,305595
-21.0,822,1524.581643,306417
-20.0,836,1528.632335,307253
-21.0,788,1532.491345,308041
-21.0,848,1536.676155,308889
-20.0,925,1541.267811,309814
-20.0,838,1545.387429,310652
-20.0,912,1549.951295,311564
-21.0,790,1553.828853,312354
-21.0,786,1557.739979,313140
-21.0,822,1561.781169,313962
-21.0,778,1565.546064,314740
-21.0,824,1569.566113,315564
-21.0,780,1573.446348,316344
-21.0,824,1577.514213,317168
-20.0,956,1582.257791,318124
-21.0,818,1586.29232,318942
-21.0,821,1590.359996,319763
-19.0,1073,1595.573452,320836
-21.0,820,1599.630155,321656
-21.0,819,1603.644968,322475
-21.0,883,1608.134949,323358
-21.0,818,1612.151126,324176
-20.0,836,1616.357869,325012
-21.0,845,1620.511836,325857
-21.0,879,1624.867495,326736
-20.0,958,1629.592062,327694
-19.0,1068,1634.858317,328762
-19.0,1058,1640.018841,329820
-21.0,839,1644.261235,330659
-21.0,848,1648.357126,331507
-21.0,910,1652.812516,332417
-20.0,931,1657.431395,333348
-20.0,1011,1662.462694,334359
-21.0,819,1666.516104,335178
-20.0,929,1671.150679,336107
-21.0,912,1675.624278,337019
-19.0,1009,1680.598996,338028
-21.0,787,1684.476957,338815
-21.0,819,1688.436524,339634
-20.0,942,1693.121708,340576
-21.0,967,1697.819887,341543
