total_timesteps,explained_variance,value_loss,fps,nupdates,policy_entropy
400,0.0010654926300048828,0.34675419330596924,248,1,1.7822555303573608
40000,0.011213958263397217,0.36917075514793396,790,100,1.782442569732666
80000,0.0010355114936828613,0.25164926052093506,794,200,1.7799463272094727
120000,0.0015003085136413574,0.2460382878780365,797,300,1.7739769220352173
160000,0.003709256649017334,0.11949919909238815,801,400,1.775558590888977
200000,0.028038740158081055,0.17215314507484436,801,500,1.771762490272522
240000,0.004976809024810791,0.16469800472259521,802,600,1.7677313089370728
280000,0.0009316802024841309,0.21068163216114044,803,700,1.7620978355407715
320000,0.000551760196685791,0.14796634018421173,804,800,1.781790018081665
360000,0.009918689727783203,0.09968166053295135,805,900,1.762852668762207
400000,0.0068465471267700195,0.14892421662807465,804,1000,1.718481183052063
440000,-0.004767775535583496,0.0759107917547226,804,1100,1.7616206407546997
480000,0.007349371910095215,0.14894510805606842,804,1200,1.739811897277832
520000,0.0143812894821167,0.08580748736858368,804,1300,1.7487858533859253
560000,0.00017559528350830078,0.2036522626876831,804,1400,1.755613088607788
600000,-0.0062105655670166016,0.3063792288303375,804,1500,1.7189537286758423
640000,-0.00024175643920898438,0.05237427353858948,804,1600,1.766684889793396
680000,0.004202604293823242,0.13369344174861908,804,1700,1.7493693828582764
720000,0.012479901313781738,0.16837209463119507,805,1800,1.7492058277130127
760000,0.018566787242889404,0.06564881652593613,804,1900,1.7323782444000244
800000,-0.007952094078063965,0.41475051641464233,805,2000,1.7393864393234253
840000,0.0008294582366943359,0.21602970361709595,805,2100,1.74410080909729
880000,0.0003204345703125,0.33909526467323303,805,2200,1.7349051237106323
920000,0.00299757719039917,0.09653469175100327,806,2300,1.7794610261917114
960000,0.00027370452880859375,0.6038675308227539,806,2400,1.6499899625778198
1000000,-0.00015461444854736328,0.2797134518623352,806,2500,1.7596091032028198
1040000,0.0004334449768066406,0.3487430512905121,806,2600,1.734537959098816
1080000,-0.00018477439880371094,0.23093324899673462,806,2700,1.7805198431015015
1120000,0.0011203885078430176,0.0664563849568367,806,2800,1.7506120204925537
1160000,0.0007237792015075684,0.2753959000110626,806,2900,1.7722370624542236
1200000,0.031775712966918945,0.10548622161149979,806,3000,1.76009202003479
1240000,-0.01585257053375244,0.23015347123146057,806,3100,1.7597758769989014
1280000,0.001547396183013916,0.33123549818992615,806,3200,1.7645044326782227
1320000,0.020479917526245117,0.2120053470134735,806,3300,1.735945224761963
1360000,0.0011571049690246582,0.07238932698965073,806,3400,1.7612512111663818
1400000,0.006711840629577637,0.2995675802230835,806,3500,1.7451945543289185
1440000,0.004041075706481934,0.06424640864133835,806,3600,1.766310214996338
1480000,0.006844818592071533,0.23141206800937653,806,3700,1.7740302085876465
1520000,0.0008492469787597656,0.27143415808677673,806,3800,1.7826002836227417
1560000,-4.7206878662109375e-05,0.11554403603076935,806,3900,1.7612547874450684
1600000,0.0024943947792053223,0.19458343088626862,806,4000,1.732041835784912
1640000,-0.007013440132141113,0.22784410417079926,806,4100,1.6966851949691772
1680000,0.0009980201721191406,0.09291964769363403,806,4200,1.7657290697097778
1720000,0.011298596858978271,0.23833715915679932,806,4300,1.747057318687439
1760000,0.0031886696815490723,0.07932297885417938,806,4400,1.7146391868591309
1800000,0.0036058425903320312,0.13198228180408478,805,4500,1.765670657157898
1840000,0.0017252564430236816,0.11135034263134003,805,4600,1.7855740785598755
1880000,0.006705820560455322,0.09097859263420105,805,4700,1.7824466228485107
1920000,0.002960681915283203,0.13704948127269745,806,4800,1.7680048942565918
1960000,0.009206175804138184,0.13941125571727753,806,4900,1.774815559387207
2000000,0.004981040954589844,0.08599445968866348,805,5000,1.7679944038391113
2040000,0.0017648935317993164,0.34612616896629333,805,5100,1.756955623626709
2080000,0.008164763450622559,0.1924455612897873,806,5200,1.7498769760131836
2120000,0.00020569562911987305,0.07975825667381287,806,5300,1.7466206550598145
2160000,0.0034669041633605957,0.08448199927806854,806,5400,1.7464494705200195
2200000,-0.0023080110549926758,0.20919229090213776,806,5500,1.7722724676132202
2240000,0.0039691925048828125,0.3889691233634949,806,5600,1.7756433486938477
2280000,0.03731566667556763,0.08664800971746445,806,5700,1.7699910402297974
2320000,0.01490551233291626,0.27212801575660706,806,5800,1.7733068466186523
2360000,0.02593284845352173,0.25293484330177307,806,5900,1.7566194534301758
2400000,0.015437602996826172,0.40003371238708496,806,6000,1.7771632671356201
2440000,0.02988499402999878,0.10029418766498566,805,6100,1.7703220844268799
2480000,0.03131479024887085,0.15233081579208374,805,6200,1.779874563217163
2520000,0.04038780927658081,0.23656217753887177,805,6300,1.7653934955596924
2560000,0.16033565998077393,0.07669246941804886,805,6400,1.760858416557312
2600000,-0.006905317306518555,0.09532461315393448,805,6500,1.7556766271591187
2640000,0.21561694145202637,0.14177188277244568,805,6600,1.7690320014953613
2680000,0.20034706592559814,0.08451082557439804,805,6700,1.7850852012634277
2720000,0.20506495237350464,0.28011059761047363,805,6800,1.7706927061080933
2760000,0.5332893431186676,0.10189743340015411,805,6900,1.7744686603546143
2800000,0.6674172878265381,0.05364884436130524,805,7000,1.7746869325637817
2840000,0.13481801748275757,0.11760653555393219,805,7100,1.771084189414978
2880000,0.5138664543628693,0.06363246589899063,805,7200,1.767234206199646
2920000,0.2653399109840393,0.056422069668769836,805,7300,1.7712032794952393
2960000,0.14576220512390137,0.07588861137628555,805,7400,1.781865119934082
3000000,0.049997150897979736,0.2878178656101227,805,7500,1.7791361808776855
3040000,0.0612756609916687,0.23052912950515747,805,7600,1.7858963012695312
3080000,0.6582149863243103,0.07742477208375931,805,7700,1.7787790298461914
3120000,-0.1322925090789795,0.09742164611816406,805,7800,1.779520869255066
3160000,0.24138528108596802,0.07302038371562958,805,7900,1.7734923362731934
3200000,0.2155827283859253,0.12020386755466461,805,8000,1.7706539630889893
3240000,0.18266046047210693,0.09262551367282867,805,8100,1.7539368867874146
3280000,0.03279751539230347,0.08671138435602188,805,8200,1.7665104866027832
3320000,0.6522565186023712,0.08567233383655548,805,8300,1.758771538734436
3360000,0.5831393599510193,0.08351228386163712,805,8400,1.7517504692077637
3400000,-0.02196800708770752,0.281845360994339,805,8500,1.7369152307510376
3440000,0.44905155897140503,0.10446756333112717,805,8600,1.7647737264633179
3480000,-0.036620497703552246,0.3088339865207672,806,8700,1.7497793436050415
3520000,0.2613636255264282,0.29235026240348816,806,8800,1.738031268119812
3560000,0.7150362432003021,0.05141190439462662,805,8900,1.7523918151855469
3600000,0.24968630075454712,0.08679481595754623,805,9000,1.7349669933319092
3640000,0.1891237497329712,0.07179920375347137,805,9100,1.7592735290527344
3680000,0.4945826530456543,0.07582152634859085,805,9200,1.7683939933776855
3720000,0.03348076343536377,0.09325896203517914,805,9300,1.7657581567764282
3760000,0.311037540435791,0.09618017077445984,805,9400,1.7757225036621094
3800000,0.2823922634124756,0.10755699872970581,805,9500,1.7651311159133911
3840000,-0.012456536293029785,0.054562684148550034,805,9600,1.7660424709320068
3880000,0.6283471584320068,0.05018249899148941,806,9700,1.7751855850219727
3920000,0.10816079378128052,0.11255525797605515,806,9800,1.7793694734573364
3960000,0.21885079145431519,0.29666802287101746,806,9900,1.776971459388733
4000000,0.07180815935134888,0.11708603799343109,805,10000,1.7832634449005127
4040000,0.2205454707145691,0.05931377038359642,805,10100,1.783052682876587
4080000,0.047093868255615234,0.09140391647815704,805,10200,1.7554686069488525
4120000,0.7555918991565704,0.08320353180170059,805,10300,1.7710996866226196
4160000,0.020115911960601807,0.14335797727108002,805,10400,1.7653614282608032
4200000,0.4023568630218506,0.06047659367322922,805,10500,1.760672926902771
4240000,0.3978734016418457,0.09053073823451996,805,10600,1.7663251161575317
4280000,0.10543996095657349,0.34349480271339417,805,10700,1.7624757289886475
4320000,0.5683780908584595,0.04882318526506424,805,10800,1.7685608863830566
4360000,0.24553292989730835,0.09704937040805817,805,10900,1.776078224182129
4400000,-0.024274110794067383,0.08355638384819031,805,11000,1.7740638256072998
4440000,0.20241880416870117,0.09886159747838974,805,11100,1.761461615562439
4480000,0.13753408193588257,0.1300135999917984,805,11200,1.774053692817688
4520000,0.7372352778911591,0.0684487521648407,805,11300,1.7754566669464111
4560000,0.0658765435218811,0.3015170991420746,805,11400,1.7780512571334839
4600000,0.17949402332305908,0.10984665900468826,805,11500,1.7870326042175293
4640000,0.46703600883483887,0.1343376785516739,805,11600,1.7854424715042114
4680000,0.6131471991539001,0.06926344335079193,806,11700,1.7863242626190186
4720000,0.22797077894210815,0.12215917557477951,806,11800,1.7846102714538574
4760000,-0.04283583164215088,0.24198703467845917,806,11900,1.7828108072280884
4800000,0.25990110635757446,0.08029941469430923,805,12000,1.7847487926483154
4840000,0.26500004529953003,0.14328345656394958,805,12100,1.7839676141738892
4880000,0.32329124212265015,0.0511343777179718,805,12200,1.7807077169418335
4920000,0.2596225142478943,0.09166429191827774,805,12300,1.777283787727356
4960000,0.7598260045051575,0.0694313645362854,805,12400,1.7731040716171265
5000000,0.42273157835006714,0.08369050920009613,805,12500,1.7652678489685059
5040000,0.688487708568573,0.0672222152352333,805,12600,1.7536499500274658
5080000,0.6529003977775574,0.048837851732969284,805,12700,1.7540621757507324
5120000,0.08212435245513916,0.13103918731212616,805,12800,1.7586134672164917
5160000,0.4085111618041992,0.0849185585975647,805,12900,1.7586630582809448
5200000,0.6687619686126709,0.06126417592167854,805,13000,1.7630537748336792
5240000,-0.2476106882095337,0.13519173860549927,805,13100,1.757869839668274
5280000,0.27039527893066406,0.08350406587123871,805,13200,1.7598991394042969
5320000,0.059608638286590576,0.2067282348871231,805,13300,1.7674216032028198
5360000,0.184390127658844,0.07925324887037277,805,13400,1.7643747329711914
5400000,-0.0036057233810424805,0.3123982548713684,805,13500,1.7638365030288696
5440000,-0.03137707710266113,0.24474014341831207,805,13600,1.7705605030059814
5480000,0.4631029963493347,0.049777984619140625,805,13700,1.7630060911178589
5520000,0.22789061069488525,0.3298056721687317,805,13800,1.761804223060608
5560000,0.6025736629962921,0.06753253191709518,805,13900,1.756354570388794
5600000,0.8813595399260521,0.02489366941154003,805,14000,1.7586482763290405
5640000,0.17951929569244385,0.31411391496658325,805,14100,1.7503803968429565
5680000,-0.15853381156921387,0.09713315963745117,805,14200,1.7392091751098633
5720000,0.23156416416168213,0.07698138803243637,805,14300,1.7606021165847778
5760000,0.14620357751846313,0.5159422159194946,805,14400,1.7624207735061646
5800000,0.4895932674407959,0.062343187630176544,805,14500,1.7548376321792603
5840000,0.6275615096092224,0.05383139103651047,805,14600,1.764756441116333
5880000,0.0998237133026123,0.09436917304992676,805,14700,1.771583914756775
5920000,0.7133892774581909,0.046277765184640884,805,14800,1.774954080581665
5960000,0.4895024299621582,0.09143821895122528,802,14900,1.7730270624160767
6000000,-0.09233522415161133,0.11897751688957214,800,15000,1.7629696130752563
6040000,0.6450937688350677,0.06337268650531769,798,15100,1.7670092582702637
6080000,0.43664056062698364,0.14451152086257935,795,15200,1.7641997337341309
6120000,0.015618741512298584,0.32908743619918823,793,15300,1.7485195398330688
6160000,0.25173360109329224,0.08701662719249725,791,15400,1.7531689405441284
6200000,0.23891687393188477,0.21692833304405212,788,15500,1.7426925897598267
6240000,0.390936017036438,0.08875598013401031,786,15600,1.737966775894165
6280000,0.08207434415817261,0.10158716142177582,784,15700,1.739473581314087
6320000,0.2058756947517395,0.198961541056633,782,15800,1.7354830503463745
6360000,0.2179616093635559,0.09141547232866287,780,15900,1.7375543117523193
6400000,-0.08223915100097656,0.5775375366210938,778,16000,1.7263580560684204
6440000,0.19676488637924194,0.29310816526412964,776,16100,1.7318298816680908
6480000,0.27668672800064087,0.07931052893400192,774,16200,1.7366191148757935
