#{"t_start": 1525486403.673001, "env_id": "PongNoFrameskip-v4"}
r,l,t,i
-21.0,760,10.12928,759
-20.0,941,15.731783,1700
-21.0,819,20.560972,2519
-21.0,1015,26.530272,3534
-21.0,757,30.981809,4291
-21.0,758,35.442505,5049
-21.0,761,39.849689,5810
-19.0,1098,46.269783,6908
-21.0,944,51.737659,7852
-19.0,1012,57.648026,8864
-21.0,999,63.467911,9863
-21.0,838,68.323179,10701
-20.0,863,73.289544,11564
-21.0,825,78.142124,12389
-21.0,845,83.075858,13234
-21.0,875,88.197446,14109
-21.0,1040,94.260933,15149
-21.0,866,99.291429,16015
-21.0,841,104.200555,16856
-21.0,788,108.751484,17644
-20.0,1023,114.68586,18667
-21.0,820,119.443786,19487
-21.0,851,124.363721,20338
-20.0,839,129.280724,21177
-20.0,861,134.247592,22038
-20.0,1009,139.994393,23047
-20.0,916,145.296308,23963
-21.0,763,149.740908,24726
-21.0,758,154.122804,25484
-21.0,808,158.869387,26292
-21.0,781,163.432739,27073
-21.0,760,167.847103,27833
-20.0,836,172.693552,28669
-21.0,762,177.007949,29431
-19.0,1276,184.369473,30707
-21.0,845,189.307731,31552
-21.0,764,193.676949,32316
-21.0,757,198.040835,33073
-21.0,759,202.385065,33832
-21.0,757,206.779111,34589
-21.0,759,211.037476,35348
-21.0,866,216.090254,36214
-21.0,763,220.421236,36977
-21.0,761,224.923239,37738
-21.0,759,229.295983,38497
-20.0,900,234.508569,39397
-21.0,880,239.639925,40277
-20.0,865,244.638712,41142
-21.0,822,249.430145,41964
-21.0,907,254.709095,42871
-21.0,787,259.263466,43658
-20.0,929,264.706986,44587
-20.0,946,270.161093,45533
-21.0,819,275.006603,46352
-21.0,758,279.431729,47110
-21.0,763,283.888692,47873
-21.0,761,288.301162,48634
-21.0,760,292.72572,49394
-21.0,762,297.036252,50156
-21.0,764,301.392455,50920
-21.0,757,305.79127,51677
-21.0,760,310.228373,52437
-21.0,762,314.606464,53199
-21.0,823,319.325621,54022
-21.0,941,324.772068,54963
-20.0,916,330.049973,55879
-21.0,852,334.909265,56731
-21.0,821,339.615328,57552
-21.0,884,344.743411,58436
-21.0,823,349.457519,59259
-21.0,825,354.241277,60084
-19.0,942,359.731942,61026
-20.0,1028,365.684705,62054
-21.0,758,370.058337,62812
-20.0,951,375.704224,63763
-21.0,759,380.118853,64522
-21.0,760,384.557739,65282
-20.0,869,389.620953,66151
-20.0,862,394.714158,67013
-21.0,759,399.083291,67772
-21.0,846,404.103165,68618
-21.0,785,408.698885,69403
-20.0,1150,415.350026,70553
-21.0,999,421.13481,71552
-21.0,971,426.758204,72523
-20.0,901,431.976563,73424
-20.0,895,437.231776,74319
-20.0,901,442.473808,75220
-20.0,944,447.890017,76164
-21.0,1027,453.80782,77191
-21.0,777,458.314251,77968
-21.0,793,462.926994,78761
-20.0,1063,469.027233,79824
-21.0,839,473.933544,80663
-20.0,1001,479.724167,81664
-21.0,759,484.065134,82423
-21.0,821,488.828014,83244
-21.0,882,493.934832,84126
-21.0,1051,499.937478,85177
-18.0,1116,506.455709,86293
-21.0,759,510.869446,87052
-21.0,762,515.253982,87814
-21.0,880,520.350593,88694
-21.0,860,525.229412,89554
-20.0,928,530.651616,90482
-21.0,817,535.34808,91299
-21.0,759,539.751302,92058
-20.0,921,545.088626,92979
-21.0,763,549.513982,93742
-21.0,787,553.97607,94529
-21.0,759,558.396174,95288
-21.0,762,562.791625,96050
-21.0,762,567.198363,96812
-21.0,761,571.641242,97573
-21.0,760,576.058173,98333
-20.0,860,580.986213,99193
-21.0,808,585.671437,100001
-20.0,925,591.054189,100926
-20.0,836,595.842902,101762
-20.0,1073,601.998257,102835
-20.0,984,607.583341,103819
-21.0,879,612.61849,104698
-18.0,1033,618.570599,105731
-20.0,838,623.384745,106569
-21.0,932,628.819224,107501
-21.0,852,633.666534,108353
-21.0,776,638.184648,109129
-20.0,953,643.639531,110082
-20.0,840,648.501557,110922
-20.0,887,653.548364,111809
-21.0,777,658.036046,112586
-21.0,821,662.767457,113407
-21.0,847,667.630876,114254
-21.0,790,672.237794,115044
-19.0,944,677.688052,115988
-19.0,991,683.435339,116979
-21.0,823,688.266492,117802
-19.0,1085,694.576785,118887
-21.0,790,699.135058,119677
-21.0,824,703.832136,120501
-18.0,1187,710.567816,121688
-21.0,857,715.450832,122545
-20.0,918,720.723274,123463
-20.0,894,725.934609,124357
-19.0,1076,732.086067,125433
-20.0,926,737.47112,126359
-21.0,824,742.238102,127183
-20.0,835,747.111687,128018
-21.0,824,751.95974,128842
-20.0,1108,758.437218,129950
-20.0,837,763.246997,130787
-20.0,962,768.839523,131749
-20.0,981,774.550529,132730
-21.0,781,779.1087,133511
-21.0,945,784.595123,134456
-20.0,905,789.861438,135361
-21.0,837,794.699137,136198
-21.0,776,799.217442,136974
-21.0,885,804.25456,137859
-21.0,819,808.923119,138678
-21.0,842,813.837163,139520
-20.0,1085,820.208579,140605
-21.0,819,824.947011,141424
-21.0,970,830.538809,142394
-19.0,1245,837.770217,143639
-21.0,839,842.693717,144478
-19.0,978,848.370993,145456
