#{"t_start": 1525020087.8698497, "env_id": "PongNoFrameskip-v4"}
r,l,t
-20.0,960,3.450017
-21.0,837,5.03359
-21.0,819,6.57015
-21.0,900,8.267482
-21.0,910,9.974358
-21.0,846,11.575349
-20.0,955,13.371479
-20.0,981,15.226684
-21.0,852,16.823946
-21.0,926,18.588022
-21.0,759,20.024823
-21.0,845,22.916639
-20.0,1227,27.874635
-20.0,898,31.521768
-21.0,868,35.057904
-17.0,1243,40.130488
-20.0,907,43.794734
-21.0,1043,48.038809
-21.0,824,51.36914
-20.0,915,55.079497
-19.0,1081,59.481448
-19.0,957,63.359611
-20.0,900,67.003708
-20.0,892,70.649264
-21.0,789,73.823829
-20.0,1021,77.955868
-21.0,786,81.138221
-20.0,1026,85.281088
-20.0,954,89.15676
-20.0,867,92.655375
-21.0,879,96.200619
-21.0,777,99.318494
-20.0,875,102.855371
-18.0,1084,107.234921
-20.0,927,110.99671
-20.0,1068,115.300929
-19.0,1025,119.446238
-20.0,926,123.213313
-21.0,995,127.228541
-20.0,961,131.091459
-20.0,867,134.5892
-20.0,943,138.409225
-20.0,955,142.268639
-21.0,813,145.536489
-20.0,1059,149.815592
-21.0,820,153.136516
-21.0,907,156.80971
-20.0,1022,160.924853
-21.0,849,164.321314
-21.0,825,167.60017
-21.0,812,170.868493
-21.0,791,174.017397
-21.0,906,177.635845
-21.0,897,181.232466
-16.0,1202,186.034653
-21.0,818,189.319031
-21.0,763,192.380763
-21.0,875,195.884734
-18.0,1086,200.354357
-19.0,990,204.321997
-21.0,906,207.944517
-21.0,757,210.99677
-21.0,839,214.382167
-21.0,847,217.772055
-20.0,1024,221.851804
-21.0,972,225.748806
-21.0,760,228.809681
-21.0,912,232.452734
-20.0,1002,236.451468
-21.0,818,239.714465
-21.0,847,243.1036
-19.0,1103,247.520752
-20.0,925,251.22543
-19.0,1013,255.279027
-21.0,822,258.570987
-20.0,1006,262.626032
-19.0,973,266.517021
-21.0,801,269.71126
-21.0,796,272.911372
-20.0,1019,276.982159
-20.0,1005,281.025358
-20.0,949,284.861718
-21.0,1020,288.973482
-20.0,840,292.354538
-20.0,946,296.151749
-20.0,1156,300.823861
-20.0,1018,304.908445
-20.0,946,308.754933
-21.0,817,312.054536
-21.0,970,315.971669
-20.0,837,319.341507
-21.0,926,323.050082
-20.0,920,326.773766
-19.0,1130,331.339416
-21.0,777,334.474106
-20.0,916,338.132718
-21.0,867,341.614923
-20.0,899,345.222506
-19.0,935,348.978635
-20.0,942,352.768633
-20.0,941,356.55949
-20.0,955,360.407889
-20.0,835,363.766141
-21.0,987,367.7321
-20.0,951,371.571957
-21.0,954,375.412141
-20.0,1055,379.663431
-21.0,953,383.492072
-18.0,1133,388.457413
-19.0,994,392.693747
-20.0,859,396.360239
-21.0,970,400.475254
-20.0,897,404.271774
-20.0,978,408.425064
-19.0,1095,413.060464
-19.0,1023,417.39135
-20.0,1038,421.795806
-20.0,1002,426.029174
-21.0,935,429.999051
-18.0,1263,435.423635
-20.0,901,439.424623
-18.0,1013,443.751395
-20.0,914,447.634016
-21.0,815,451.088078
-19.0,963,455.187533
-20.0,1064,459.694024
-20.0,840,463.236554
-19.0,1160,468.150932
-20.0,1111,473.005892
-20.0,839,476.568616
-20.0,1009,480.838738
-21.0,1074,485.400746
-20.0,893,489.167033
-19.0,1271,494.562407
-21.0,925,498.476005
-19.0,1054,502.933699
-20.0,956,506.967431
-18.0,1183,512.006189
-21.0,863,515.695258
-19.0,1029,520.05045
-20.0,988,524.228054
-20.0,1016,528.538829
-19.0,998,532.76443
-19.0,1188,537.791377
-18.0,1072,542.33906
-21.0,899,546.149839
-18.0,1247,551.464421
-20.0,1006,555.873931
-20.0,1164,560.812923
-20.0,975,564.942857
-21.0,1048,569.403375
-19.0,991,573.61303
-18.0,1200,578.688435
-19.0,964,582.804055
-21.0,954,586.855335
-19.0,1256,592.186481
-18.0,1186,597.220881
-20.0,1059,601.678602
-20.0,1011,605.785396
-20.0,995,609.793043
-21.0,958,613.659986
-19.0,1183,618.42643
-20.0,1178,623.183691
-20.0,991,627.183233
-19.0,1293,632.436576
-19.0,1292,637.651005
-18.0,1174,642.352408
-18.0,1219,647.258282
-17.0,1473,653.194045
-20.0,1056,657.469245
-19.0,1187,662.252558
-19.0,1018,666.374838
-20.0,1138,670.959092
-19.0,1233,675.936648
-18.0,1211,681.028693
-20.0,1039,685.228705
-19.0,1000,689.28364
-20.0,1049,693.554157
-17.0,1364,699.049757
-20.0,1011,703.126798
-20.0,1109,707.583385
-19.0,1170,712.2902
-21.0,987,716.263407
-18.0,1360,721.959637
